NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	124	1.8910433053970337	-1.6285214E-4	No	
row_1	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	463	1.2857742309570312	-0.01536333	No	
row_2	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	548	1.2226276397705078	-0.015696405	No	
row_3	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	1658	0.760915994644165	-0.0787589	No	
row_4	NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	1759	0.7341694235801697	-0.08190676	No	
row_5	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	1880	0.7055061459541321	-0.08635357	No	
row_6	ING4	inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]	1946	0.6931855082511902	-0.087575905	No	
row_7	TNFAIP1	TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894]	1949	0.6929822564125061	-0.08505169	No	
row_8	MCM9	minichromosome maintenance 9 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:21484]	2044	0.6731173396110535	-0.088075526	No	
row_9	ID3	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	2079	0.6670400500297546	-0.08755366	No	
row_10	KCTD13	potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22234]	2335	0.6160930395126343	-0.100371495	No	
row_11	JADE3	jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]	2491	0.5870718955993652	-0.107351884	No	
row_12	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	2571	0.5700222849845886	-0.10987672	No	
row_13	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	2688	0.5498759150505066	-0.11467922	No	
row_14	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	2739	0.5418164730072021	-0.11558668	No	
row_15	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	2789	0.5359532833099365	-0.11645703	No	
row_16	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	3181	0.48552873730659485	-0.13786232	No	
row_17	POLN	DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]	3185	0.48485803604125977	-0.13619141	No	
row_18	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	3316	0.46525120735168457	-0.14214942	No	
row_19	AICDA	activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]	3432	0.4507066011428833	-0.14727068	No	
row_20	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	3487	0.4425124526023865	-0.14879484	No	
row_21	BOD1L1	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	3636	0.4323151111602783	-0.15594915	No	
row_22	SDE2	SDE2 telomere maintenance homolog [Source:HGNC Symbol;Acc:HGNC:26643]	3863	0.40690356492996216	-0.1678399	No	
row_23	NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	3963	0.3952849209308624	-0.17222086	No	
row_24	INO80B	INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]	4048	0.38650238513946533	-0.17574309	No	
row_25	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4085	0.3819720149040222	-0.1764275	No	
row_26	RBBP6	RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]	4094	0.38153892755508423	-0.17544807	No	
row_27	RPAIN	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	4716	0.3135247826576233	-0.21119013	No	
row_28	POLI	DNA polymerase iota [Source:HGNC Symbol;Acc:HGNC:9182]	4928	0.2886176109313965	-0.22263984	No	
row_29	JADE1	jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]	5063	0.2736413776874542	-0.22956662	No	
row_30	DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	5196	0.26080164313316345	-0.2364234	No	
row_31	TBRG1	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]	5213	0.25937625765800476	-0.23638578	No	
row_32	NFAT5	nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]	5224	0.258415162563324	-0.23599495	No	
row_33	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	5310	0.25109830498695374	-0.24009311	No	
row_34	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	5404	0.23978611826896667	-0.24471028	No	
row_35	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	5421	0.23804578185081482	-0.24475403	No	
row_36	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	5449	0.23632711172103882	-0.24545863	No	
row_37	MEAF6	MYST/Esa1 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:25674]	5528	0.2279876172542572	-0.24922858	No	
row_38	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	5694	0.21334658563137054	-0.25822926	No	
row_39	NT5M	5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]	5758	0.20814625918865204	-0.26118267	No	
row_40	TEFM	transcription elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26223]	5762	0.2077062875032425	-0.26056886	No	
row_41	INO80	INO80 complex ATPase subunit [Source:HGNC Symbol;Acc:HGNC:26956]	5776	0.2064405381679535	-0.26055473	No	
row_42	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	5793	0.20476371049880981	-0.2607254	No	
row_43	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	6058	0.18029935657978058	-0.27574077	No	
row_44	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	6222	0.16582921147346497	-0.28480372	No	
row_45	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	6258	0.1623692512512207	-0.28626627	No	
row_46	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	6262	0.16213573515415192	-0.2858263	No	
row_47	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	6480	0.13964474201202393	-0.2982011	No	
row_48	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	6544	0.13283739984035492	-0.30144176	No	
row_49	TOP1MT	DNA topoisomerase I mitochondrial [Source:HGNC Symbol;Acc:HGNC:29787]	6749	0.11200375854969025	-0.31314874	No	
row_50	ACTR8	actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]	6939	0.09442209452390671	-0.32403058	No	
row_51	RBMS1	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	7006	0.08740715682506561	-0.32762295	No	
row_52	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	7047	0.08237268775701523	-0.329688	No	
row_53	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	7235	0.06820403784513474	-0.34055087	No	
row_54	INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]	7457	0.05186121165752411	-0.35349843	No	
row_55	PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	7521	0.046193357557058334	-0.35706958	No	
