NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	2	3.3842103481292725	0.017295497	Yes	
row_1	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	12	2.8466386795043945	0.03140823	Yes	
row_2	HAS3	hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]	29	2.4808671474456787	0.043222263	Yes	
row_3	SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	54	2.1785459518432617	0.05300458	Yes	
row_4	PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	75	2.082925796508789	0.06253287	Yes	
row_5	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	86	2.019599676132202	0.07233032	Yes	
row_6	COL4A5	collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]	109	1.9295629262924194	0.080950424	Yes	
row_7	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	125	1.885562539100647	0.08976063	Yes	
row_8	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	130	1.8699616193771362	0.09914509	Yes	
row_9	COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	160	1.7856550216674805	0.10660816	Yes	
row_10	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10 [Source:HGNC Symbol;Acc:HGNC:13201]	173	1.7460355758666992	0.11487889	Yes	
row_11	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	188	1.7151049375534058	0.12287146	Yes	
row_12	OLFML2A	olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]	214	1.6469203233718872	0.12985863	Yes	
row_13	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]	216	1.6432467699050903	0.13825497	Yes	
row_14	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	245	1.5781502723693848	0.14470975	Yes	
row_15	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	266	1.5364859104156494	0.15142617	Yes	
row_16	HMCN1	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]	268	1.5353400707244873	0.15926723	Yes	
