NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VSTM2L	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	71	2.1107778549194336	0.01798481	Yes	
row_1	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	99	1.9692039489746094	0.037079494	Yes	
row_2	PCDHB6	protocadherin beta 6 [Source:HGNC Symbol;Acc:HGNC:8691]	127	1.8825294971466064	0.05526358	Yes	
row_3	PCDHB13	protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]	128	1.8741841316223145	0.07495375	Yes	
row_4	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	164	1.7761482000350952	0.091547966	Yes	
row_5	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	207	1.6602157354354858	0.106511	Yes	
row_6	HMCN1	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]	268	1.5353400707244873	0.119099565	Yes	
row_7	PCDHB7	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	348	1.4006134271621704	0.12915117	Yes	
row_8	PCDH10	protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]	416	1.3301948308944702	0.13917129	Yes	
row_9	PCDHB11	protocadherin beta 11 [Source:HGNC Symbol;Acc:HGNC:8682]	442	1.3113497495651245	0.15147261	Yes	
row_10	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	450	1.3011268377304077	0.16472904	Yes	
row_11	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	502	1.2516623735427856	0.17486857	Yes	
row_12	PCDHGA1	protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]	531	1.2351861000061035	0.18619263	Yes	
row_13	PCDHB15	protocadherin beta 15 [Source:HGNC Symbol;Acc:HGNC:8686]	752	1.0874781608581543	0.18463142	Yes	
row_14	PCDHB16	protocadherin beta 16 [Source:HGNC Symbol;Acc:HGNC:14546]	758	1.0837901830673218	0.19572258	Yes	
row_15	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	782	1.0736600160598755	0.2056448	Yes	
row_16	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	787	1.0704567432403564	0.2166549	Yes	
row_17	FAT4	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	830	1.0543859004974365	0.22525308	Yes	
row_18	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	860	1.0333073139190674	0.23439719	Yes	
row_19	CDHR2	cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]	884	1.0199131965637207	0.24375473	Yes	
row_20	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	910	1.0107389688491821	0.25289786	Yes	
row_21	PCDHA2	protocadherin alpha 2 [Source:HGNC Symbol;Acc:HGNC:8668]	1029	0.9582045674324036	0.2559994	Yes	
row_22	PCDHB10	protocadherin beta 10 [Source:HGNC Symbol;Acc:HGNC:8681]	1046	0.9484952092170715	0.26501983	Yes	
row_23	AMIGO1	adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]	1050	0.94686359167099	0.2747905	Yes	
row_24	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	1140	0.9125199913978577	0.2791239	Yes	
row_25	PCDHGB1	protocadherin gamma subfamily B, 1 [Source:HGNC Symbol;Acc:HGNC:8708]	1144	0.9111984372138977	0.28851986	Yes	
