NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	2	3.3842103481292725	0.016074652	Yes	
row_1	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	6	3.1355299949645996	0.030899614	Yes	
row_2	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	9	2.9455533027648926	0.044875212	Yes	
row_3	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	11	2.931215763092041	0.05884191	Yes	
row_4	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	43	2.3022663593292236	0.068007715	Yes	
row_5	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	44	2.2904369831085205	0.07896788	Yes	
row_6	LDB3	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]	69	2.1169164180755615	0.0876647	Yes	
row_7	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	79	2.066556692123413	0.09701618	Yes	
row_8	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	106	1.9381771087646484	0.10473829	Yes	
row_9	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	174	1.7443134784698486	0.10908467	Yes	
row_10	APLNR	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	185	1.720029592514038	0.11671825	Yes	
row_11	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	230	1.603303074836731	0.12176316	Yes	
row_12	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	264	1.5376770496368408	0.12715085	Yes	
row_13	PGM5	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	292	1.4845802783966064	0.1326427	Yes	
row_14	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	304	1.458044409751892	0.13896292	Yes	
row_15	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	313	1.4422980546951294	0.14538692	Yes	
row_16	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	315	1.4394283294677734	0.15221514	Yes	
row_17	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	336	1.412439227104187	0.15777974	Yes	
