NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	490	1.2636630535125732	-0.024425842	No	
row_1	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	538	1.2304564714431763	-0.022683188	No	
row_2	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	706	1.1116737127304077	-0.028499693	No	
row_3	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	1960	0.6908451914787292	-0.10031722	No	
row_4	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	2897	0.520037829875946	-0.1539508	No	
row_5	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	2901	0.5198744535446167	-0.15221405	No	
row_6	SENP6	SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	3161	0.48971307277679443	-0.16578127	No	
row_7	ZNF827	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]	3594	0.4342057704925537	-0.18982	No	
row_8	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	4083	0.3821621537208557	-0.21737388	No	
row_9	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4085	0.3819720149040222	-0.21602635	No	
row_10	TAF7L	TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]	4293	0.3562050461769104	-0.22699925	No	
row_11	TCF4	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	4869	0.29579219222068787	-0.26003444	No	
row_12	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	5023	0.2793666124343872	-0.2680856	No	
row_13	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	5056	0.27485570311546326	-0.26897237	No	
row_14	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	5062	0.2737034261226654	-0.26826102	No	
row_15	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	5314	0.25059568881988525	-0.28223416	No	
row_16	MED14	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]	5432	0.23753994703292847	-0.2883029	No	
row_17	TAF11	TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544]	5545	0.2263069748878479	-0.29411626	No	
row_18	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	5577	0.22330261766910553	-0.29513356	No	
row_19	ARID2	AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]	5805	0.20329062640666962	-0.30785662	No	
row_20	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	5927	0.19243378937244415	-0.31432885	No	
row_21	H2BC19P	H2B clustered histone 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:20517]	6091	0.1777493804693222	-0.32334778	No	
row_22	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	6201	0.16741153597831726	-0.3292	No	
row_23	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	6322	0.15571613609790802	-0.33574814	No	
row_24	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	6490	0.13846643269062042	-0.34514913	No	
row_25	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	6544	0.13283739984035492	-0.34780526	No	
row_26	CHD2	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]	6594	0.1263054460287094	-0.35024807	No	
row_27	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	6637	0.12223035097122192	-0.35229045	No	
row_28	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	6647	0.12150805443525314	-0.35237706	No	
row_29	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	6673	0.11937058717012405	-0.35342106	No	
row_30	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	6735	0.11404691636562347	-0.3566212	No	
row_31	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	7431	0.05414886772632599	-0.39766806	No	
