NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	443	1.3090590238571167	-0.019961268	No	
row_1	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	685	1.1232553720474243	-0.028832309	No	
row_2	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	875	1.0259857177734375	-0.035087544	No	
row_3	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1256	0.8721464276313782	-0.05342279	No	
row_4	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	1644	0.7635209560394287	-0.07269885	No	
row_5	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	2571	0.5700222849845886	-0.12490076	No	
row_6	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	2739	0.5418164730072021	-0.1321919	No	
row_7	SENP6	SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	3161	0.48971307277679443	-0.15481012	No	
row_8	INO80B	INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]	4048	0.38650238513946533	-0.20552556	No	
row_9	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	4083	0.3821621537208557	-0.20569521	No	
row_10	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4085	0.3819720149040222	-0.2039072	No	
row_11	TNKS2	tankyrase 2 [Source:HGNC Symbol;Acc:HGNC:15677]	4185	0.36971867084503174	-0.20799483	No	
row_12	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	4492	0.3364775478839874	-0.22452882	No	
row_13	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	4510	0.3349537253379822	-0.22391781	No	
row_14	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	4554	0.3302842080593109	-0.22487251	No	
row_15	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	4766	0.30831825733184814	-0.23590438	No	
row_16	TEN1	TEN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:37242]	5100	0.2697000503540039	-0.2543638	No	
