NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_KERATINIZATION	GOBP_KERATINIZATION	Details ...	24	0.71399766	2.2280326	0.0	0.0046211905	0.003	1111	tags=42%, list=7%, signal=45%	
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	Details ...	285	0.45998538	2.1970897	0.0	0.0030590817	0.003	2689	tags=38%, list=16%, signal=44%	
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	Details ...	23	0.6909305	2.0932155	0.0	0.03118386	0.059	2959	tags=61%, list=17%, signal=74%	
GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX	GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX	Details ...	35	0.60588676	2.0747044	0.0	0.032833185	0.083	3301	tags=49%, list=19%, signal=60%	
GOBP_MUSCLE_CELL_DEVELOPMENT	GOBP_MUSCLE_CELL_DEVELOPMENT	Details ...	163	0.4601862	2.0707352	0.0	0.028650079	0.091	2268	tags=32%, list=13%, signal=36%	
GOBP_MUSCLE_CELL_DIFFERENTIATION	GOBP_MUSCLE_CELL_DIFFERENTIATION	Details ...	343	0.41721293	2.0679052	0.0	0.024634859	0.093	2268	tags=29%, list=13%, signal=33%	
GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	Details ...	15	0.7576399	2.0632613	0.0	0.023456125	0.102	1894	tags=53%, list=11%, signal=60%	
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Details ...	150	0.45397833	2.0475035	0.0	0.025245111	0.126	4372	tags=55%, list=26%, signal=74%	
GOBP_REGULATION_OF_HEART_RATE	GOBP_REGULATION_OF_HEART_RATE	Details ...	88	0.5013975	2.0462532	0.0	0.022781784	0.128	4120	tags=51%, list=24%, signal=67%	
GOBP_HETEROTYPIC_CELL_CELL_ADHESION	GOBP_HETEROTYPIC_CELL_CELL_ADHESION	Details ...	51	0.5478303	2.0380871	0.0	0.023375496	0.146	3019	tags=41%, list=18%, signal=50%	
GOBP_NEGATIVE_CHEMOTAXIS	GOBP_NEGATIVE_CHEMOTAXIS	Details ...	42	0.5764818	2.035572	0.0	0.022481414	0.152	2549	tags=40%, list=15%, signal=47%	
GOBP_CHOLESTEROL_EFFLUX	GOBP_CHOLESTEROL_EFFLUX	Details ...	47	0.5597928	2.030705	0.0	0.02224683	0.162	3301	tags=47%, list=19%, signal=58%	
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	Details ...	44	0.579827	2.0302002	0.0	0.020765608	0.164	1688	tags=39%, list=10%, signal=43%	
GOBP_HEART_PROCESS	GOBP_HEART_PROCESS	Details ...	218	0.43226692	2.0251422	0.0	0.020578602	0.173	4120	tags=43%, list=24%, signal=56%	
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	Details ...	38	0.5799855	2.022731	0.0	0.01991307	0.179	4111	tags=55%, list=24%, signal=73%	
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	Details ...	35	0.5962252	2.0215178	0.0	0.01876238	0.18	3993	tags=43%, list=23%, signal=56%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION	Details ...	284	0.4169415	2.0009246	0.0	0.024610102	0.245	3947	tags=41%, list=23%, signal=52%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	61	0.51777405	1.988983	0.0	0.027087495	0.28	4491	tags=64%, list=26%, signal=86%	
GOBP_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	GOBP_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	Details ...	20	0.66019976	1.9824045	0.0	0.02813101	0.303	3587	tags=60%, list=21%, signal=76%	
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	Details ...	106	0.46760133	1.9820607	0.0	0.026876515	0.304	2695	tags=31%, list=16%, signal=37%	
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT	GOBP_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT		29	0.6112937	1.9752901	0.002352941	0.027891265	0.324	2152	tags=28%, list=13%, signal=32%	
GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS		36	0.57119507	1.9751921	0.0	0.02662348	0.324	3587	tags=53%, list=21%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT		33	0.5873177	1.9618837	0.0	0.030069325	0.375	3511	tags=45%, list=21%, signal=57%	
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		83	0.49342996	1.9524924	0.0	0.03368383	0.428	4111	tags=46%, list=24%, signal=60%	
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION		52	0.5384677	1.952395	0.0	0.03239631	0.428	2081	tags=35%, list=12%, signal=39%	
GOBP_RELAXATION_OF_CARDIAC_MUSCLE	GOBP_RELAXATION_OF_CARDIAC_MUSCLE		16	0.7014665	1.9438024	0.0023640662	0.03458058	0.466	3837	tags=69%, list=22%, signal=89%	
