NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION	Details ...	134	-0.8062172	-3.19892	0.0	0.0	0.0	825	tags=44%, list=5%, signal=46%	
GOBP_NUCLEOSOME_ASSEMBLY	GOBP_NUCLEOSOME_ASSEMBLY	Details ...	100	-0.84804106	-3.1924095	0.0	0.0	0.0	825	tags=54%, list=5%, signal=56%	
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	Details ...	241	-0.73922116	-3.1437564	0.0	0.0	0.0	832	tags=34%, list=5%, signal=35%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION	Details ...	163	-0.7521468	-3.0491571	0.0	0.0	0.0	1457	tags=49%, list=9%, signal=53%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	230	-0.72112995	-3.037063	0.0	0.0	0.0	1567	tags=39%, list=9%, signal=43%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	123	-0.75848526	-2.9785922	0.0	0.0	0.0	1416	tags=43%, list=8%, signal=47%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	359	-0.66602385	-2.9555764	0.0	0.0	0.0	1567	tags=35%, list=9%, signal=37%	
GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	Details ...	105	-0.776076	-2.946869	0.0	0.0	0.0	1416	tags=46%, list=8%, signal=50%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION	Details ...	315	-0.6763984	-2.9330583	0.0	0.0	0.0	1783	tags=38%, list=10%, signal=41%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	Details ...	129	-0.74881315	-2.9269288	0.0	0.0	0.0	1567	tags=43%, list=9%, signal=47%	
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	302	-0.67973775	-2.9225647	0.0	0.0	0.0	1196	tags=33%, list=7%, signal=35%	
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION	Details ...	55	-0.84056777	-2.9052708	0.0	0.0	0.0	1183	tags=60%, list=7%, signal=64%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	93	-0.77130353	-2.8866737	0.0	0.0	0.0	1109	tags=45%, list=6%, signal=48%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	279	-0.6695706	-2.8746285	0.0	0.0	0.0	2386	tags=46%, list=14%, signal=52%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	Details ...	110	-0.75487655	-2.8704712	0.0	0.0	0.0	2318	tags=56%, list=14%, signal=65%	
GOBP_TELOMERE_ORGANIZATION	GOBP_TELOMERE_ORGANIZATION	Details ...	180	-0.6962183	-2.869326	0.0	0.0	0.0	2294	tags=45%, list=13%, signal=51%	
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	94	-0.7623019	-2.8615777	0.0	0.0	0.0	1416	tags=44%, list=8%, signal=47%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	242	-0.67147285	-2.8561616	0.0	0.0	0.0	1344	tags=32%, list=8%, signal=34%	
GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE	Details ...	105	-0.75052494	-2.843709	0.0	0.0	0.0	1299	tags=45%, list=8%, signal=48%	
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	48	-0.83951235	-2.8162694	0.0	0.0	0.0	1109	tags=60%, list=6%, signal=64%	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS		163	-0.6867308	-2.804652	0.0	0.0	0.0	2064	tags=40%, list=12%, signal=45%	
GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ASSEMBLY	GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ASSEMBLY		31	-0.90844804	-2.7897289	0.0	0.0	0.0	825	tags=81%, list=5%, signal=85%	
GOBP_CHROMATIN_REMODELING	GOBP_CHROMATIN_REMODELING		335	-0.6400366	-2.7857518	0.0	0.0	0.0	2321	tags=34%, list=14%, signal=39%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION		42	-0.86006093	-2.7814808	0.0	0.0	0.0	1109	tags=69%, list=6%, signal=74%	
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION		61	-0.79541403	-2.76944	0.0	0.0	0.0	2033	tags=62%, list=12%, signal=70%	
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION		112	-0.72733593	-2.7663379	0.0	0.0	0.0	1171	tags=44%, list=7%, signal=47%	
GOBP_CELL_CYCLE_DNA_REPLICATION	GOBP_CELL_CYCLE_DNA_REPLICATION		42	-0.84291834	-2.7578669	0.0	0.0	0.0	1299	tags=64%, list=8%, signal=69%	
GOBP_ORGANELLE_FISSION	GOBP_ORGANELLE_FISSION		485	-0.61048174	-2.7547042	0.0	0.0	0.0	1639	tags=31%, list=10%, signal=33%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION		53	-0.81787777	-2.7495418	0.0	0.0	0.0	1109	tags=57%, list=6%, signal=60%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN	GOBP_PROTEIN_LOCALIZATION_TO_CHROMATIN		52	-0.81529105	-2.7262576	0.0	0.0	0.0	1419	tags=50%, list=8%, signal=54%	
GOBP_MITOTIC_SPINDLE_ORGANIZATION	GOBP_MITOTIC_SPINDLE_ORGANIZATION		134	-0.68599147	-2.695061	0.0	0.0	0.0	1952	tags=39%, list=11%, signal=43%	
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING		184	-0.64431334	-2.654242	0.0	0.0	0.0	1800	tags=38%, list=11%, signal=41%	
GOBP_REGULATION_OF_NUCLEAR_DIVISION	GOBP_REGULATION_OF_NUCLEAR_DIVISION		131	-0.6827084	-2.6447394	0.0	0.0	0.0	1433	tags=41%, list=8%, signal=45%	
GOBP_DNA_RECOMBINATION	GOBP_DNA_RECOMBINATION		305	-0.61101407	-2.6372528	0.0	0.0	0.0	2405	tags=36%, list=14%, signal=42%	
GOBP_DNA_REPLICATION_INITIATION	GOBP_DNA_REPLICATION_INITIATION		36	-0.8347105	-2.6349347	0.0	0.0	0.0	1008	tags=61%, list=6%, signal=65%	
GOBP_RECOMBINATIONAL_REPAIR	GOBP_RECOMBINATIONAL_REPAIR		168	-0.65128696	-2.6266603	0.0	0.0	0.0	1382	tags=33%, list=8%, signal=35%	
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING		139	-0.65689725	-2.618325	0.0	0.0	0.0	1416	tags=37%, list=8%, signal=40%	
GOBP_DOUBLE_STRAND_BREAK_REPAIR	GOBP_DOUBLE_STRAND_BREAK_REPAIR		289	-0.6023604	-2.5998178	0.0	0.0	0.0	1419	tags=29%, list=8%, signal=31%	
GOBP_REGULATION_OF_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_REPLICATION		130	-0.66644275	-2.588835	0.0	0.0	0.0	1825	tags=39%, list=11%, signal=44%	
GOBP_SPINDLE_ORGANIZATION	GOBP_SPINDLE_ORGANIZATION		209	-0.61401075	-2.5740488	0.0	0.0	0.0	1810	tags=33%, list=11%, signal=37%	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE		43	-0.7829587	-2.5695279	0.0	0.0	0.0	923	tags=47%, list=5%, signal=49%	
GOBP_CHROMOSOME_LOCALIZATION	GOBP_CHROMOSOME_LOCALIZATION		87	-0.69394356	-2.5632646	0.0	0.0	0.0	1201	tags=33%, list=7%, signal=36%	
GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION	GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION		59	-0.74280417	-2.5518844	0.0	0.0	0.0	1416	tags=41%, list=8%, signal=44%	
