NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	15	4.27717399597168	0.05082684	Yes	
row_1	SLC9A9	solute carrier family 9 member A9 [Source:HGNC Symbol;Acc:HGNC:20653]	99	3.232203483581543	0.085019946	Yes	
row_2	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	146	3.0247185230255127	0.11888137	Yes	
row_3	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	325	2.4214797019958496	0.13768426	Yes	
row_4	RAB20	RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]	333	2.4009206295013428	0.1662986	Yes	
row_5	ATP1B2	ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]	403	2.2849104404449463	0.18986294	Yes	
row_6	MAFG	MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]	549	2.0750861167907715	0.20641947	Yes	
row_7	ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	610	2.008939504623413	0.2271769	Yes	
row_8	LACC1	laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]	674	1.9319449663162231	0.24682702	Yes	
row_9	RAB38	RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]	801	1.8043172359466553	0.26122785	Yes	
row_10	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	858	1.746098518371582	0.27904296	Yes	
row_11	SLC9A8	solute carrier family 9 member A8 [Source:HGNC Symbol;Acc:HGNC:20728]	1020	1.6199514865875244	0.2891558	Yes	
row_12	SLC12A5	solute carrier family 12 member 5 [Source:HGNC Symbol;Acc:HGNC:13818]	1108	1.5639792680740356	0.30294544	Yes	
row_13	ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	1237	1.4785845279693604	0.31329063	Yes	
