NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	53	3.6031742095947266	0.072521515	Yes	
row_1	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	225	2.6538705825805664	0.11819648	Yes	
row_2	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	349	2.383185863494873	0.16100508	Yes	
row_3	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	487	2.1670775413513184	0.19845648	Yes	
row_4	ADORA2A	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]	545	2.085712194442749	0.23889212	Yes	
row_5	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	574	2.047727108001709	0.28023133	Yes	
row_6	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	605	2.0155670642852783	0.32077822	Yes	
row_7	NR1D1	nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]	698	1.9053388833999634	0.35537505	Yes	
row_8	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	810	1.798924446105957	0.38662392	Yes	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1046	1.6037243604660034	0.40650284	Yes	
row_10	TTBK1	tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140]	1147	1.5413389205932617	0.43299016	Yes	
row_11	TAFA3	TAFA chemokine like family member 3 [Source:HGNC Symbol;Acc:HGNC:21590]	1162	1.5346589088439941	0.4643813	Yes	
row_12	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	1271	1.4568328857421875	0.48862565	Yes	
row_13	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1307	1.4398260116577148	0.51679456	Yes	
row_14	LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	1358	1.4119789600372314	0.54349923	Yes	
row_15	MAPT	microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	1604	1.2899894714355469	0.5562064	Yes	
row_16	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1801	1.2061796188354492	0.5700283	Yes	
row_17	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1888	1.1754993200302124	0.58965784	Yes	
