NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THEMIS2	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]	13	4.3259477615356445	0.013072115	Yes	
row_1	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	22	4.138871192932129	0.025843885	Yes	
row_2	NFATC2	nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]	26	4.06019401550293	0.03866232	Yes	
row_3	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	35	3.859973430633545	0.050541274	Yes	
row_4	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	43	3.765943765640259	0.06217893	Yes	
row_5	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	75	3.341844320297241	0.07102603	Yes	
row_6	BTN3A3	butyrophilin subfamily 3 member A3 [Source:HGNC Symbol;Acc:HGNC:1140]	98	3.234616756439209	0.08006721	Yes	
row_7	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	175	2.8866047859191895	0.08477027	Yes	
row_8	RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	188	2.8209621906280518	0.093084306	Yes	
row_9	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	203	2.750352144241333	0.1010529	Yes	
row_10	RAB29	RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]	204	2.744838237762451	0.109839715	Yes	
row_11	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	215	2.7115583419799805	0.11792294	Yes	
row_12	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	225	2.6538705825805664	0.1258812	Yes	
row_13	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	245	2.5985183715820312	0.13306521	Yes	
row_14	MFHAS1	multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]	251	2.579955816268921	0.14102568	Yes	
row_15	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	264	2.553204298019409	0.14848256	Yes	
row_16	BTN2A2	butyrophilin subfamily 2 member A2 [Source:HGNC Symbol;Acc:HGNC:1137]	266	2.551379442214966	0.15659037	Yes	
row_17	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	285	2.5019335746765137	0.16352491	Yes	
row_18	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	298	2.466987133026123	0.1707058	Yes	
row_19	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	309	2.439011335372925	0.17791654	Yes	
row_20	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	328	2.4112956523895264	0.18456092	Yes	
row_21	BTN3A2	butyrophilin subfamily 3 member A2 [Source:HGNC Symbol;Acc:HGNC:1139]	335	2.4001283645629883	0.19188601	Yes	
row_22	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	343	2.3872551918029785	0.1991102	Yes	
row_23	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	353	2.3761208057403564	0.20617932	Yes	
row_24	PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	363	2.3580310344696045	0.21319053	Yes	
row_25	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	369	2.347571611404419	0.22040708	Yes	
row_26	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	390	2.3139381408691406	0.22662039	Yes	
row_27	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	417	2.2683236598968506	0.23232944	Yes	
row_28	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	444	2.222778081893921	0.2378927	Yes	
row_29	INPP5D	inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]	462	2.206350803375244	0.24394071	Yes	
row_30	BTN3A1	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]	491	2.1641616821289062	0.24919692	Yes	
