NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAF7L	TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]	788	1.8126593828201294	-0.04027434	No	
row_1	TAF3	TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]	1432	1.3718392848968506	-0.07352194	No	
row_2	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	1451	1.3605378866195679	-0.069718026	No	
row_3	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	1459	1.3572441339492798	-0.065273084	No	
row_4	BRF2	BRF2 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:17298]	1603	1.2899967432022095	-0.06914017	No	
row_5	NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	1691	1.2519538402557373	-0.06982006	No	
row_6	TAF6L	TATA-box binding protein associated factor 6 like [Source:HGNC Symbol;Acc:HGNC:17305]	2116	1.1045705080032349	-0.09102773	No	
row_7	SUPT6H	SPT6 homolog, histone chaperone and transcription elongation factor [Source:HGNC Symbol;Acc:HGNC:11470]	2897	0.898391604423523	-0.13410135	No	
row_8	MED31	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]	3122	0.855202317237854	-0.14433257	No	
row_9	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	3282	0.824612557888031	-0.1508158	No	
row_10	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	3379	0.8068090081214905	-0.1536239	No	
row_11	H2AW	H2A.W histone [Source:HGNC Symbol;Acc:HGNC:20507]	4149	0.6810056567192078	-0.19682315	No	
row_12	BAZ2A	bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]	4375	0.6447243690490723	-0.20786747	No	
row_13	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	4659	0.6016552448272705	-0.22250816	No	
row_14	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	4723	0.591423511505127	-0.22412911	No	
row_15	CHD1	chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1915]	4735	0.5895003080368042	-0.2226709	No	
row_16	TAF8	TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300]	5004	0.5473772883415222	-0.23661575	No	
row_17	CHD2	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]	5116	0.5314903259277344	-0.24129999	No	
row_18	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	5269	0.5129344463348389	-0.24848391	No	
row_19	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	5472	0.4878595173358917	-0.258725	No	
row_20	MED10	mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]	5505	0.48567667603492737	-0.25888488	No	
row_21	SENP6	SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	5726	0.4564199149608612	-0.27030677	No	
row_22	SETD2	SET domain containing 2, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:18420]	5809	0.4465293288230896	-0.2735742	No	
row_23	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	5871	0.4379119873046875	-0.27562618	No	
row_24	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	6241	0.39611247181892395	-0.2961068	No	
row_25	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	6277	0.3909302055835724	-0.296784	No	
row_26	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	6346	0.3804847002029419	-0.29945707	No	
row_27	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	6379	0.3757520318031311	-0.3000106	No	
row_28	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	6408	0.37250182032585144	-0.30033836	No	
row_29	MED11	mediator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:32687]	6530	0.3552379310131073	-0.30624723	No	
row_30	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	6722	0.32626208662986755	-0.31641418	No	
row_31	SPTY2D1	SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]	6769	0.32001158595085144	-0.31799817	No	
row_32	TAF7	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	6833	0.31237953901290894	-0.3206184	No	
row_33	MIS12	MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24967]	6862	0.30805984139442444	-0.32117695	No	
row_34	KAT6A	lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]	6897	0.3012760877609253	-0.32211587	No	
row_35	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	6921	0.2985580265522003	-0.3224117	No	
row_36	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	7128	0.26935267448425293	-0.33367264	No	
row_37	H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	7204	0.260653555393219	-0.33719027	No	
row_38	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	7208	0.2600614130496979	-0.33643702	No	
row_39	GTF2A2	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	7211	0.25992926955223083	-0.33562487	No	
row_40	GTF2A1	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	7415	0.23443064093589783	-0.34683284	No	
row_41	MED9	mediator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25487]	7448	0.2311280220746994	-0.34790426	No	
row_42	MED28	mediator complex subunit 28 [Source:HGNC Symbol;Acc:HGNC:24628]	7531	0.22170858085155487	-0.3519768	No	
row_43	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	7615	0.21137875318527222	-0.35614565	No	
row_44	MED17	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]	7872	0.17488442361354828	-0.37071225	No	
row_45	H1-4	H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]	7881	0.17340300977230072	-0.37056607	No	
row_46	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	7947	0.16525329649448395	-0.37383187	No	
row_47	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	7973	0.16166014969348907	-0.3747366	No	
row_48	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	7980	0.1612410992383957	-0.3745153	No	
row_49	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	8046	0.15253886580467224	-0.3778266	No	
row_50	CENPC	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]	8224	0.1273261457681656	-0.3878751	No	
row_51	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	8414	0.0991208553314209	-0.39873675	No	
row_52	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	8475	0.08904760330915451	-0.4019787	No	
row_53	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	8507	0.08449126034975052	-0.4035159	No	
row_54	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	8581	0.07527927309274673	-0.40757865	No	
row_55	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	8642	0.06694759428501129	-0.41089976	No	
row_56	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	8652	0.06590147316455841	-0.41119787	No	
row_57	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	8812	0.04423202946782112	-0.4204757	No	
row_58	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	8856	0.037089284509420395	-0.42289478	No	
row_59	BRD2	bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]	8922	0.026930244639515877	-0.42665592	No	
