NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK5	polo like kinase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:27001]	207	1.8880163431167603	0.0011850791	No	
row_1	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	848	1.1749299764633179	-0.028312368	No	
row_2	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	1224	0.9947410821914673	-0.043417428	No	
row_3	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	1591	0.883030116558075	-0.05878471	No	
row_4	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	1943	0.8037796020507812	-0.07382845	No	
row_5	FEM1B	fem-1 homolog B [Source:HGNC Symbol;Acc:HGNC:3649]	1974	0.7958513498306274	-0.06994237	No	
row_6	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain [Source:HGNC Symbol;Acc:HGNC:2340]	1979	0.7946595549583435	-0.06452694	No	
row_7	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	2109	0.7598752379417419	-0.06675229	No	
row_8	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	2330	0.7059576511383057	-0.074743524	No	
row_9	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	2384	0.6952157020568848	-0.0729336	No	
row_10	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	2385	0.6942520141601562	-0.06799573	No	
row_11	BABAM2	BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]	2541	0.6558248400688171	-0.07249897	No	
row_12	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	2912	0.588553786277771	-0.0901973	No	
row_13	MRNIP	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	3606	0.4716564416885376	-0.12783158	No	
row_14	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	4170	0.411769837141037	-0.15820268	No	
row_15	PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1 [Source:HGNC Symbol;Acc:HGNC:23490]	4264	0.4000554382801056	-0.16085796	No	
row_16	STK33	serine/threonine kinase 33 [Source:HGNC Symbol;Acc:HGNC:14568]	4302	0.39490965008735657	-0.16023761	No	
row_17	SYF2	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	4546	0.3692772686481476	-0.17198387	No	
row_18	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	4566	0.3670707643032074	-0.17049687	No	
row_19	GIGYF2	GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]	5138	0.30098289251327515	-0.20212913	No	
row_20	USP28	ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]	5304	0.27983900904655457	-0.20989804	No	
row_21	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	5713	0.23451608419418335	-0.23236206	No	
row_22	USP44	ubiquitin specific peptidase 44 [Source:HGNC Symbol;Acc:HGNC:20064]	6194	0.1850781887769699	-0.2594363	No	
row_23	THOC5	THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]	6196	0.18466390669345856	-0.25818202	No	
row_24	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	6324	0.17016680538654327	-0.2644834	No	
row_25	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	6355	0.1660146415233612	-0.26507702	No	
