NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	68	2.421671152114868	0.0053359745	No	
row_1	BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	398	1.560224175453186	-0.008270726	No	
row_2	MEIOB	meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]	648	1.3030277490615845	-0.018094512	No	
row_3	SYCE1L	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	715	1.2565028667449951	-0.017161764	No	
row_4	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	848	1.1749299764633179	-0.020490188	No	
row_5	UVRAG	UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640]	1016	1.0901365280151367	-0.026239552	No	
row_6	SPATA22	spermatogenesis associated 22 [Source:HGNC Symbol;Acc:HGNC:30705]	1278	0.9726841449737549	-0.0380628	No	
row_7	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	1554	0.8950708508491516	-0.051024035	No	
row_8	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	1600	0.8808573484420776	-0.050294325	No	
row_9	SETDB2	SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]	1878	0.8163629770278931	-0.063680604	No	
row_10	MLH3	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	2074	0.7670815587043762	-0.072357394	No	
row_11	STAG3L4	stromal antigen 3-like 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33887]	2144	0.7533316612243652	-0.073557064	No	
row_12	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	2297	0.7157041430473328	-0.079863355	No	
row_13	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	2330	0.7059576511383057	-0.07903559	No	
row_14	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	2501	0.6671432256698608	-0.08660615	No	
row_15	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	2529	0.658692479133606	-0.08566302	No	
row_16	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2833	0.6028013229370117	-0.10143218	No	
row_17	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	2845	0.600955069065094	-0.09975692	No	
row_18	ANKRD31	ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:26853]	2849	0.6003186702728271	-0.097605996	No	
row_19	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	2912	0.588553786277771	-0.09902692	No	
row_20	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	2925	0.5858203172683716	-0.097470164	No	
row_21	ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	3143	0.5426141619682312	-0.108333096	No	
row_22	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	3184	0.5342130661010742	-0.1086501	No	
row_23	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	3408	0.4985305368900299	-0.12004275	No	
row_24	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	3529	0.48092493414878845	-0.12534785	No	
row_25	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	3928	0.4307723045349121	-0.14746252	No	
row_26	TEX11	testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]	4115	0.41733646392822266	-0.156959	No	
row_27	MEIOC	meiosis specific with coiled-coil domain [Source:HGNC Symbol;Acc:HGNC:26670]	4176	0.41105642914772034	-0.15894936	No	
row_28	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	4182	0.40979108214378357	-0.15765753	No	
row_29	SYCE3	synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:HGNC:35245]	4205	0.4070676863193512	-0.1573923	No	
row_30	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	4421	0.38153737783432007	-0.16876093	No	
row_31	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	4549	0.36906906962394714	-0.17491859	No	
row_32	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	4647	0.35673788189888	-0.17933114	No	
row_33	STAG3L1	stromal antigen 3-like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33852]	4705	0.34979376196861267	-0.18138	No	
row_34	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	5037	0.31176215410232544	-0.19995232	No	
row_35	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	5082	0.3069567084312439	-0.2013905	No	
row_36	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	5214	0.28920653462409973	-0.20809722	No	
row_37	SUN1	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]	5220	0.28768616914749146	-0.20727937	No	
row_38	SHOC1	shortage in chiasmata 1 [Source:HGNC Symbol;Acc:HGNC:26535]	5272	0.28349316120147705	-0.209227	No	
row_39	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	5381	0.2716072201728821	-0.21462741	No	
