NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIOB	meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]	648	1.3030277490615845	-0.03194875	No	
row_1	MLH3	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	2074	0.7670815587043762	-0.112923265	No	
row_2	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	2308	0.7114866971969604	-0.12317017	No	
row_3	SPIDR	scaffold protein involved in DNA repair [Source:HGNC Symbol;Acc:HGNC:28971]	2357	0.7008601427078247	-0.12245024	No	
row_4	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	2384	0.6952157020568848	-0.12044854	No	
row_5	KMT5C	lysine methyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:28405]	2582	0.6492379307746887	-0.1288687	No	
row_6	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	2781	0.6130858659744263	-0.13753308	No	
row_7	ANKRD31	ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:26853]	2849	0.6003186702728271	-0.13845855	No	
row_8	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	3040	0.5638703107833862	-0.14689769	No	
row_9	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	3042	0.5637626647949219	-0.14407802	No	
row_10	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	3051	0.5613884329795837	-0.14168747	No	
row_11	MBTD1	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]	3108	0.548266589641571	-0.14222346	No	
row_12	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	3128	0.5446112155914307	-0.1405739	No	
row_13	ZFYVE26	zinc finger FYVE-type containing 26 [Source:HGNC Symbol;Acc:HGNC:20761]	3328	0.5122138857841492	-0.14981304	No	
row_14	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	3337	0.5112519860267639	-0.14767855	No	
row_15	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	3380	0.5040421485900879	-0.14760637	No	
row_16	MRNIP	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	3606	0.4716564416885376	-0.15860155	No	
row_17	RADX	RPA1 related single stranded DNA binding protein, X-linked [Source:HGNC Symbol;Acc:HGNC:25486]	3638	0.4684499204158783	-0.15805586	No	
row_18	CCR6	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	3817	0.44679808616638184	-0.16637804	No	
row_19	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	3852	0.44203582406044006	-0.16614597	No	
row_20	TEX11	testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]	4115	0.41733646392822266	-0.17962277	No	
row_21	SYCE3	synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:HGNC:35245]	4205	0.4070676863193512	-0.18284583	No	
row_22	SHLD1	shieldin complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26318]	4318	0.393231600522995	-0.18750973	No	
row_23	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	4434	0.3807068169116974	-0.19241633	No	
row_24	TNFSF13	TNF superfamily member 13 [Source:HGNC Symbol;Acc:HGNC:11928]	4645	0.356795072555542	-0.20310453	No	
row_25	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	4652	0.356553316116333	-0.20164096	No	
row_26	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	4717	0.3491354286670685	-0.20367056	No	
