NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	461	1.4837853908538818	-0.020366635	No	
row_1	NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	708	1.2626838684082031	-0.028995954	No	
row_2	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	1156	1.0248541831970215	-0.050711714	No	
row_3	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	1640	0.865494430065155	-0.075326435	No	
row_4	MAS1	MAS1 proto-oncogene, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:6899]	1766	0.8388695120811462	-0.078773424	No	
row_5	DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	2023	0.7798951864242554	-0.09029284	No	
row_6	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	2455	0.6772525906562805	-0.11270948	No	
row_7	NT5M	5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]	2651	0.6371563673019409	-0.12127915	No	
row_8	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	2925	0.5858203172683716	-0.13473243	No	
row_9	TNFAIP1	TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894]	2997	0.5719248056411743	-0.13623653	No	
row_10	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	3042	0.5637626647949219	-0.13617346	No	
row_11	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	3337	0.5112519860267639	-0.15123037	No	
row_12	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	3380	0.5040421485900879	-0.15133224	No	
row_13	ING4	inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]	3445	0.49183228611946106	-0.15280077	No	
row_14	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	3694	0.4611448049545288	-0.16535975	No	
row_15	TEFM	transcription elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26223]	3732	0.45671913027763367	-0.16538921	No	
row_16	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	3852	0.44203582406044006	-0.17036594	No	
row_17	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	3874	0.43884435296058655	-0.1695287	No	
row_18	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	4652	0.356553316116333	-0.21405055	No	
row_19	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	4843	0.3353554606437683	-0.22375764	No	
row_20	ID3	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	5140	0.3008077144622803	-0.239934	No	
row_21	AICDA	activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]	5178	0.29533350467681885	-0.24073073	No	
row_22	MEAF6	MYST/Esa1 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:25674]	5285	0.2812894284725189	-0.24569844	No	
row_23	POLI	DNA polymerase iota [Source:HGNC Symbol;Acc:HGNC:9182]	5402	0.2691771686077118	-0.25131854	No	
row_24	INO80B	INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]	5550	0.25304555892944336	-0.25885925	No	
row_25	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	5713	0.23451608419418335	-0.2673803	No	
row_26	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	5807	0.22762954235076904	-0.27182984	No	
row_27	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	6068	0.19816197454929352	-0.28635287	No	
row_28	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	6136	0.19072195887565613	-0.2894314	No	
row_29	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	6357	0.16593772172927856	-0.30172837	No	
row_30	LIG4	DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]	6370	0.16481135785579681	-0.3016586	No	
row_31	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	6406	0.16056621074676514	-0.3029771	No	
