NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	375	1.5953112840652466	-0.015418227	No	
row_1	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	676	1.2828288078308105	-0.027724205	No	
row_2	NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	708	1.2626838684082031	-0.024082946	No	
row_3	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	848	1.1749299764633179	-0.027260937	No	
row_4	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	1228	0.9935300946235657	-0.045533665	No	
row_5	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1417	0.9373393058776855	-0.05266535	No	
row_6	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	1449	0.9281275868415833	-0.05047847	No	
row_7	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	1451	0.9278315305709839	-0.046504613	No	
row_8	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	1554	0.8950708508491516	-0.048693676	No	
row_9	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	1559	0.8932439684867859	-0.045049	No	
row_10	UBXN2B	UBX domain protein 2B [Source:HGNC Symbol;Acc:HGNC:27035]	1622	0.871890127658844	-0.04495448	No	
row_11	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	1752	0.8399935364723206	-0.048992418	No	
row_12	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	1943	0.8037796020507812	-0.05682393	No	
row_13	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	2078	0.7654778361320496	-0.06148385	No	
row_14	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	2317	0.709643542766571	-0.07258582	No	
row_15	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	2330	0.7059576511383057	-0.07023219	No	
row_16	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	2529	0.658692479133606	-0.0791713	No	
row_17	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2833	0.6028013229370117	-0.094612315	No	
row_18	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	2845	0.600955069065094	-0.09265555	No	
row_19	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	2912	0.588553786277771	-0.09403118	No	
row_20	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	2961	0.5778563022613525	-0.09438035	No	
row_21	L3MBTL1	L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]	3175	0.5356937050819397	-0.104748294	No	
row_22	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	3194	0.5325157642364502	-0.103506304	No	
row_23	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	3408	0.4985305368900299	-0.1140358	No	
row_24	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	3529	0.48092493414878845	-0.1190982	No	
row_25	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	3694	0.4611448049545288	-0.12686938	No	
row_26	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4032	0.42270344495773315	-0.14512002	No	
row_27	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	4139	0.4155830144882202	-0.14963196	No	
row_28	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	4309	0.3946011960506439	-0.15799047	No	
row_29	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	4421	0.38153737783432007	-0.16294844	No	
row_30	EPGN	epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	4638	0.3579051196575165	-0.1742681	No	
row_31	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	4647	0.35673788189888	-0.17319416	No	
row_32	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	4702	0.3499755859375	-0.17489162	No	
row_33	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	4840	0.33582019805908203	-0.18159817	No	
row_34	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	5037	0.31176215410232544	-0.19192624	No	
row_35	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	5082	0.3069567084312439	-0.19321464	No	
row_36	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	5214	0.28920653462409973	-0.19976617	No	
row_37	LSM14A	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	5344	0.27545949816703796	-0.20625825	No	
row_38	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	5381	0.2716072201728821	-0.20722345	No	
row_39	NEK6	NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]	5387	0.2711248993873596	-0.20634285	No	
row_40	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	5401	0.26936662197113037	-0.20594677	No	
row_41	OFD1	OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]	5417	0.26802217960357666	-0.20567577	No	
row_42	REEP3	receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]	5473	0.2626802325248718	-0.20781234	No	
row_43	CHMP4B	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]	5526	0.2558828294277191	-0.20979963	No	
row_44	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	5568	0.25102683901786804	-0.21115233	No	
row_45	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	5619	0.24462802708148956	-0.21306933	No	
row_46	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	5629	0.24374708533287048	-0.2125462	No	
row_47	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	6029	0.2025391310453415	-0.2354497	No	
row_48	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	6103	0.19403323531150818	-0.23895766	No	
row_49	USP44	ubiquitin specific peptidase 44 [Source:HGNC Symbol;Acc:HGNC:20064]	6194	0.1850781887769699	-0.24351789	No	
row_50	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	6308	0.17200924456119537	-0.24950594	No	
row_51	PSMG2	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	6324	0.17016680538654327	-0.24966033	No	
row_52	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	6375	0.1640961468219757	-0.2519274	No	
row_53	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	6645	0.1346520334482193	-0.26737687	No	
row_54	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	6736	0.12493664771318436	-0.27219856	No	
row_55	BRD7	bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]	6765	0.12149056047201157	-0.27333945	No	
row_56	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	6831	0.11485274881124496	-0.27671474	No	
row_57	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	6842	0.11427571624517441	-0.27681407	No	
row_58	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	6852	0.11373673379421234	-0.27685612	No	
row_59	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	6967	0.10234323143959045	-0.28320664	No	
row_60	BOD1	biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]	7003	0.0991525948047638	-0.2848619	No	
row_61	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	7093	0.09001085162162781	-0.28977582	No	
row_62	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	7117	0.08629103749990463	-0.2907717	No	
row_63	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	7203	0.0765264704823494	-0.29550576	No	
row_64	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	7213	0.07567283511161804	-0.2957133	No	
row_65	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	7449	0.05195946991443634	-0.3094955	No	
row_66	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	7483	0.04921017959713936	-0.3112487	No	
row_67	MAP9	microtubule associated protein 9 [Source:HGNC Symbol;Acc:HGNC:26118]	7559	0.044674307107925415	-0.31552514	No	
row_68	INO80	INO80 complex ATPase subunit [Source:HGNC Symbol;Acc:HGNC:26956]	7616	0.03998751565814018	-0.31868944	No	
row_69	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	7628	0.038632601499557495	-0.31917718	No	
row_70	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	7788	0.0248150322586298	-0.32854712	No	
row_71	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	7815	0.02207845449447632	-0.33000097	No	
row_72	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	7842	0.01902066171169281	-0.33146814	No	
row_73	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	7940	0.01110687293112278	-0.33720192	No	
row_74	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	7977	0.007820871658623219	-0.33931383	No	
row_75	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	7982	0.0071251485496759415	-0.3395213	No	
row_76	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	8077	0.0	-0.34512454	No	
row_77	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	8344	0.0	-0.36098054	No	
row_78	ARID2	AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]	8573	-0.01747504435479641	-0.37449542	No	
row_79	TOM1L2	target of myb1 like 2 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11984]	8666	-0.0239152479916811	-0.37987545	No	
row_80	CUL9	cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982]	8685	-0.025850893929600716	-0.38083604	No	
row_81	PIBF1	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	8702	-0.02754560299217701	-0.38167006	No	
row_82	LCMT1	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]	8771	-0.033456623554229736	-0.385578	No	
row_83	TASOR	transcription activation suppressor [Source:HGNC Symbol;Acc:HGNC:30314]	8849	-0.03984617441892624	-0.38999468	No	
row_84	RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]	8867	-0.04106922447681427	-0.3908295	No	
row_85	CHMP4BP1	charged multivesicular body protein 4B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43616]	8890	-0.04299655184149742	-0.39195397	No	
row_86	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	8926	-0.04625357687473297	-0.3938392	No	
row_87	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	8955	-0.04948927089571953	-0.39529315	No	
row_88	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	8989	-0.053489845246076584	-0.3970277	No	
row_89	AURKC	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]	8996	-0.05402151867747307	-0.39715052	No	
row_90	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	9001	-0.054777633398771286	-0.3971508	No	
row_91	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	9362	-0.0871262475848198	-0.41823128	No	
