NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNB2	potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]	9	3.171505928039551	0.016555585	Yes	
row_1	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	39	2.668524742126465	0.029210651	Yes	
row_2	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	79	2.3435444831848145	0.039519425	Yes	
row_3	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	80	2.342911720275879	0.052145254	Yes	
row_4	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	100	2.2497267723083496	0.063138425	Yes	
row_5	STAC2	SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990]	108	2.216013193130493	0.074663915	Yes	
row_6	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	190	1.924776554107666	0.08021701	Yes	
row_7	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	197	1.9069918394088745	0.09013669	Yes	
row_8	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	198	1.9046850204467773	0.10040094	Yes	
row_9	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	212	1.883123755455017	0.109775506	Yes	
row_10	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	218	1.8765548467636108	0.11959066	Yes	
row_11	TACR2	tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]	235	1.8327430486679077	0.12851523	Yes	
row_12	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	329	1.6711939573287964	0.1319878	Yes	
row_13	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	358	1.6119452714920044	0.13900852	Yes	
row_14	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	390	1.579119324684143	0.14567384	Yes	
row_15	KCND3	potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]	402	1.5526691675186157	0.1533866	Yes	
row_16	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	404	1.5513906478881836	0.16168746	Yes	
row_17	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	448	1.5038079023361206	0.16723295	Yes	
row_18	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	461	1.4837853908538818	0.174515	Yes	
row_19	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	474	1.4727503061294556	0.18173759	Yes	
