NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNB2	potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]	9	3.171505928039551	0.013350701	Yes	
row_1	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	13	3.127943515777588	0.026869271	Yes	
row_2	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	39	2.668524742126465	0.03706095	Yes	
row_3	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	79	2.3435444831848145	0.04499266	Yes	
row_4	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	80	2.342911720275879	0.05525274	Yes	
row_5	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	100	2.2497267723083496	0.06396905	Yes	
row_6	STAC2	SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990]	108	2.216013193130493	0.07325501	Yes	
row_7	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	164	1.9966247081756592	0.078711115	Yes	
row_8	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	190	1.924776554107666	0.08564578	Yes	
row_9	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	197	1.9069918394088745	0.09363824	Yes	
row_10	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	198	1.9046850204467773	0.10197923	Yes	
row_11	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	212	1.883123755455017	0.10944876	Yes	
row_12	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	218	1.8765548467636108	0.11736771	Yes	
row_13	TACR2	tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]	235	1.8327430486679077	0.12443729	Yes	
row_14	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	329	1.6711939573287964	0.1261969	Yes	
row_15	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	354	1.6159613132476807	0.13183898	Yes	
row_16	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	358	1.6119452714920044	0.13871868	Yes	
row_17	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	390	1.579119324684143	0.143781	Yes	
row_18	KCND3	potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]	402	1.5526691675186157	0.14992295	Yes	
row_19	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	404	1.5513906478881836	0.15665703	Yes	
row_20	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	448	1.5038079023361206	0.16067226	Yes	
row_21	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	461	1.4837853908538818	0.16645278	Yes	
row_22	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	474	1.4727503061294556	0.17218497	Yes	
row_23	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	477	1.4659658670425415	0.17848518	Yes	
row_24	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	489	1.4514055252075195	0.18418369	Yes	
row_25	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	503	1.434921145439148	0.18969044	Yes	
row_26	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	504	1.4344289302825928	0.19597208	Yes	
row_27	TMEM38A	transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]	527	1.410455346107483	0.20083375	Yes	
row_28	KCNJ8	potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]	563	1.3731709718704224	0.2047551	Yes	
row_29	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	598	1.338132381439209	0.20858276	Yes	
row_30	GPD1L	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	614	1.3313913345336914	0.2135166	Yes	
row_31	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	620	1.3247145414352417	0.21901892	Yes	
row_32	SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	641	1.3066636323928833	0.22354561	Yes	
row_33	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	663	1.294229507446289	0.22795807	Yes	
row_34	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	675	1.2834125757217407	0.23292089	Yes	
row_35	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	699	1.2676697969436646	0.23709749	Yes	
row_36	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	703	1.2659540176391602	0.24246204	Yes	
row_37	LMCD1	LIM and cysteine rich domains 1 [Source:HGNC Symbol;Acc:HGNC:6633]	709	1.2622926235198975	0.247691	Yes	
row_38	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	767	1.2259986400604248	0.24965285	Yes	
row_39	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	769	1.2253515720367432	0.25495914	Yes	
row_40	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	803	1.2006746530532837	0.2582446	Yes	
row_41	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	891	1.1528680324554443	0.25809303	Yes	
row_42	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	892	1.1522011756896973	0.26313874	Yes	
row_43	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	893	1.1512210369110107	0.26818016	Yes	
row_44	HTR2A	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	927	1.130759596824646	0.27115947	Yes	
row_45	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	952	1.1242519617080688	0.27464825	Yes	
row_46	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	997	1.0964990854263306	0.27682003	Yes	
row_47	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	1019	1.0873430967330933	0.2803265	Yes	
row_48	STAC	SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]	1039	1.0786410570144653	0.2839144	Yes	
row_49	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	1041	1.0777618885040283	0.28857437	Yes	
row_50	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	1043	1.0765881538391113	0.2932292	Yes	
row_51	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	1051	1.0735551118850708	0.29751208	Yes	
row_52	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	1065	1.0694160461425781	0.30141822	Yes	
row_53	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	1070	1.0680878162384033	0.3058565	Yes	
