NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDE8B	phosphodiesterase 8B [Source:HGNC Symbol;Acc:HGNC:8794]	11	3.1625149250030518	0.038729295	Yes	
row_1	JPH4	junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156]	16	3.0489041805267334	0.076456666	Yes	
row_2	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	39	2.668524742126465	0.108386576	Yes	
row_3	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	53	2.5586912631988525	0.1394795	Yes	
row_4	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	79	2.3435444831848145	0.16718607	Yes	
row_5	STAC2	SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990]	108	2.216013193130493	0.19312784	Yes	
row_6	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	159	2.009518623352051	0.21520144	Yes	
row_7	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	329	1.6711939573287964	0.22604673	Yes	
row_8	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	333	1.6683613061904907	0.24664333	Yes	
row_9	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	404	1.5513906478881836	0.2618335	Yes	
row_10	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	503	1.434921145439148	0.27392265	Yes	
row_11	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	589	1.3494081497192383	0.28571352	Yes	
row_12	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	598	1.338132381439209	0.30190352	Yes	
row_13	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	620	1.3247145414352417	0.31716004	Yes	
row_14	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	767	1.2259986400604248	0.32381797	Yes	
row_15	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	769	1.2253515720367432	0.3390164	Yes	
row_16	MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	783	1.211188554763794	0.353331	Yes	
row_17	STAC	SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]	1039	1.0786410570144653	0.351728	Yes	
row_18	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	1051	1.0735551118850708	0.3644468	Yes	
row_19	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	1056	1.0705466270446777	0.3775408	Yes	
row_20	TPP1	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]	1129	1.0367846488952637	0.38620543	Yes	
row_21	AGTPBP1	ATP/GTP binding carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17258]	1184	1.0117995738983154	0.3956202	Yes	
row_22	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	1217	0.9960449934005737	0.4061358	Yes	
