NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	1117	1.0409176349639893	-0.057617992	No	
row_1	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	2308	0.7114866971969604	-0.12210306	No	
row_2	NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	3528	0.4811716377735138	-0.19009215	No	
row_3	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	3924	0.43174996972084045	-0.20997064	No	
row_4	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	3959	0.42710620164871216	-0.20863882	No	
row_5	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	5023	0.31324318051338196	-0.268757	No	
row_6	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	6829	0.11498755216598511	-0.3740924	No	
row_7	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	7039	0.09499188512563705	-0.38565177	No	
row_8	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	7292	0.06708967685699463	-0.39995962	No	
row_9	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	7661	0.03563965484499931	-0.42134005	No	
row_10	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	8263	0.0	-0.4567117	No	
row_11	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	8394	-0.003459774889051914	-0.46433583	No	
row_12	MACROH2A2	macroH2A.2 histone [Source:HGNC Symbol;Acc:HGNC:14453]	8447	-0.00777625385671854	-0.46733558	No	
row_13	H2AB3	H2A.B variant histone 3 [Source:HGNC Symbol;Acc:HGNC:14455]	8697	-0.027067702263593674	-0.4817792	No	
row_14	TSPY26P	testis specific protein Y-linked 26, pseudogene [Source:HGNC Symbol;Acc:HGNC:16256]	8719	-0.029362255707383156	-0.482786	No	
row_15	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	9288	-0.08110214024782181	-0.5155826	No	
row_16	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	9450	-0.09595394134521484	-0.52430946	No	
row_17	H2BC19P	H2B clustered histone 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:20517]	9516	-0.10169170051813126	-0.5273414	No	
row_18	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	10186	-0.1604878157377243	-0.5654629	No	
row_19	KAT6A	lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]	10236	-0.16525784134864807	-0.5670572	No	
row_20	CHRAC1	chromatin accessibility complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:13544]	10838	-0.2152993530035019	-0.6007488	No	
