NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAP1L3	nucleosome assembly protein 1 like 3 [Source:HGNC Symbol;Acc:HGNC:7639]	1117	1.0409176349639893	-0.058748383	No	
row_1	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	2044	0.7756733298301697	-0.10804833	No	
row_2	H1-9P	H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:HGNC:30616]	2308	0.7114866971969604	-0.11868868	No	
row_3	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	2781	0.6130858659744263	-0.14232779	No	
row_4	NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	3528	0.4811716377735138	-0.18302824	No	
row_5	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	3529	0.48092493414878845	-0.17973676	No	
row_6	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	3924	0.43174996972084045	-0.20001706	No	
row_7	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	3959	0.42710620164871216	-0.19909899	No	
row_8	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	5023	0.31324318051338196	-0.2596431	No	
row_9	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	5629	0.24374708533287048	-0.29365337	No	
row_10	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	6375	0.1640961468219757	-0.33646494	No	
row_11	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	6829	0.11498755216598511	-0.36239257	No	
row_12	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	7039	0.09499188512563705	-0.37406775	No	
row_13	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	7292	0.06708967685699463	-0.3884697	No	
row_14	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	7661	0.03563965484499931	-0.40992773	No	
row_15	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	7940	0.01110687293112278	-0.42624614	No	
