NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	68	2.421671152114868	0.0133148255	No	
row_1	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	831	1.1839200258255005	-0.023269342	No	
row_2	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]	1086	1.0584694147109985	-0.030711949	No	
row_3	TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]	2925	0.5858203172683716	-0.13520493	No	
row_4	ZNF827	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]	2999	0.5717237591743469	-0.13542888	No	
row_5	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	3818	0.44675979018211365	-0.18060157	No	
row_6	SHLD1	shieldin complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26318]	4318	0.393231600522995	-0.20729399	No	
row_7	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	4593	0.3635004460811615	-0.22089428	No	
row_8	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	4652	0.356553316116333	-0.22177157	No	
row_9	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	4771	0.3439714014530182	-0.2262869	No	
row_10	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	4843	0.3353554606437683	-0.22808467	No	
row_11	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]	4967	0.3202279508113861	-0.23306563	No	
row_12	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	5214	0.28920653462409973	-0.24554206	No	
row_13	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	5734	0.23334740102291107	-0.2745617	No	
row_14	EID3	EP300 interacting inhibitor of differentiation 3 [Source:HGNC Symbol;Acc:HGNC:32961]	5946	0.21234196424484253	-0.2855187	No	
row_15	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	6406	0.16056621074676514	-0.31151137	No	
row_16	TEN1	TEN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:37242]	6450	0.15550045669078827	-0.3129409	No	
row_17	TERF2	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]	6455	0.15527328848838806	-0.3120659	No	
row_18	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	6645	0.1346520334482193	-0.32227814	No	
row_19	HUS1B	HUS1 checkpoint clamp component B [Source:HGNC Symbol;Acc:HGNC:16485]	6790	0.11851788312196732	-0.32994488	No	
row_20	TNKS2	tankyrase 2 [Source:HGNC Symbol;Acc:HGNC:15677]	6840	0.11431748420000076	-0.33202404	No	
row_21	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	6989	0.10055185854434967	-0.3400559	No	
