NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	32	32		
GOBP_REPRODUCTION	1501		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	133	124		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GOBP_MITOTIC_SPINDLE_ELONGATION	12		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	26	24		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	19	18		
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	35	32		
GOBP_TRANSITION_METAL_ION_TRANSPORT	104	90		
GOBP_UREA_CYCLE	10		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	15	15		
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	186	184		
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	17	17		
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	21	21		
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	33	32		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	16		
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	956		Rejected!	
GOBP_RRNA_MODIFICATION	38	38		
GOBP_MAPK_CASCADE	797		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	40	39		
GOBP_PROTEIN_POLYUBIQUITINATION	246	233		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	15		Rejected!	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	663		Rejected!	
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	25		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	93	72		
GOBP_ALLANTOIN_METABOLIC_PROCESS	9		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	40	38		
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	74	62		
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	20	15		
GOBP_MITOTIC_CELL_CYCLE	950		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	85	84		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	68	66		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	34	33		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	19	19		
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	9		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	205	182		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29	24		
GOBP_PROTEIN_DENEDDYLATION	11		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	331	287		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	81	75		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	62	58		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	51	38		
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	14		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	31	25		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	93	90		
GOBP_MITOPHAGY	36	35		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	10		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	36	36		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	39	38		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	25	25		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	28	28		
GOBP_MATURATION_OF_LSU_RRNA	28	28		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	16	16		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	8		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	44	28		
