NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_HEART_RATE	GOBP_REGULATION_OF_HEART_RATE	Details ...	88	0.5692902	2.2428098	0.0	0.0052558826	0.005	3195	tags=48%, list=19%, signal=58%	
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	Details ...	33	0.68700826	2.23638	0.0	0.0036835202	0.007	3173	tags=52%, list=19%, signal=63%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION	Details ...	284	0.481327	2.2156131	0.0	0.0024556802	0.007	3173	tags=40%, list=19%, signal=49%	
GOBP_STRIATED_MUSCLE_CONTRACTION	GOBP_STRIATED_MUSCLE_CONTRACTION	Details ...	144	0.51626587	2.1935737	0.0	0.0023690243	0.009	3285	tags=42%, list=19%, signal=52%	
GOBP_MULTICELLULAR_ORGANISMAL_SIGNALING	GOBP_MULTICELLULAR_ORGANISMAL_SIGNALING	Details ...	134	0.5075851	2.1395361	0.0	0.004229421	0.019	3317	tags=41%, list=19%, signal=51%	
GOBP_NEUROMUSCULAR_PROCESS	GOBP_NEUROMUSCULAR_PROCESS	Details ...	129	0.5126516	2.1389236	0.0	0.003524517	0.019	3285	tags=39%, list=19%, signal=48%	
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	Details ...	67	0.56711245	2.1388285	0.0	0.0030210146	0.019	4089	tags=52%, list=24%, signal=68%	
GOBP_MUSCLE_SYSTEM_PROCESS	GOBP_MUSCLE_SYSTEM_PROCESS	Details ...	361	0.44696024	2.1266472	0.0	0.0034308878	0.025	3285	tags=38%, list=19%, signal=46%	
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL	Details ...	119	0.51351565	2.119517	0.0	0.0031668718	0.026	3285	tags=39%, list=19%, signal=48%	
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	Details ...	47	0.5982503	2.1188831	0.0	0.0028501847	0.026	3285	tags=49%, list=19%, signal=60%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	90	0.532814	2.105429	0.0	0.003169919	0.032	3285	tags=43%, list=19%, signal=53%	
