NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NUCLEOSOME_ASSEMBLY	GOBP_NUCLEOSOME_ASSEMBLY	Details ...	100	-0.79411596	-3.348112	0.0	0.0	0.0	1186	tags=55%, list=7%, signal=59%	
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION	Details ...	134	-0.73994535	-3.283611	0.0	0.0	0.0	939	tags=43%, list=5%, signal=45%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION	Details ...	163	-0.6972508	-3.1894288	0.0	0.0	0.0	2680	tags=55%, list=16%, signal=64%	
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	Details ...	241	-0.6584779	-3.165861	0.0	0.0	0.0	3713	tags=57%, list=22%, signal=72%	
GOBP_TELOMERE_ORGANIZATION	GOBP_TELOMERE_ORGANIZATION	Details ...	180	-0.6703053	-3.108465	0.0	0.0	0.0	2960	tags=55%, list=17%, signal=66%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	Details ...	110	-0.7110679	-3.0906956	0.0	0.0	0.0	2698	tags=58%, list=16%, signal=69%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	93	-0.7371904	-3.0675147	0.0	0.0	0.0	2863	tags=62%, list=17%, signal=75%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	279	-0.6243074	-3.030648	0.0	0.0	0.0	2952	tags=49%, list=17%, signal=58%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	230	-0.6272412	-2.9655674	0.0	0.0	0.0	2751	tags=44%, list=16%, signal=52%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	242	-0.620425	-2.9534624	0.0	0.0	0.0	2960	tags=48%, list=17%, signal=57%	
GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	Details ...	105	-0.6798384	-2.914825	0.0	0.0	0.0	2350	tags=49%, list=14%, signal=56%	
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION	GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION	Details ...	55	-0.770485	-2.9095986	0.0	0.0	0.0	1710	tags=58%, list=10%, signal=64%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION	Details ...	315	-0.59081346	-2.902953	0.0	0.0	0.0	2863	tags=44%, list=17%, signal=52%	
GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ASSEMBLY	GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ASSEMBLY	Details ...	31	-0.861543	-2.897598	0.0	0.0	0.0	1719	tags=84%, list=10%, signal=93%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	359	-0.5836772	-2.8957334	0.0	0.0	0.0	2709	tags=42%, list=16%, signal=49%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	123	-0.6670394	-2.8934646	0.0	0.0	0.0	2350	tags=47%, list=14%, signal=54%	
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	Details ...	184	-0.6166191	-2.8878357	0.0	0.0	0.0	2976	tags=49%, list=17%, signal=59%	
