NAME	TITLE	SCORE	
TMEM125	transmembrane protein 125 [Source:HGNC Symbol;Acc:HGNC:28275]	4.0135403	
RAB39B	RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]	3.7297518	
RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	3.6741056	
CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	3.452061	
CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	3.433148	
TTBK1	tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140]	3.2695622	
ALDH7A1P1	aldehyde dehydrogenase 7 family member A1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:878]	3.2404535	
CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	3.2120051	
KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	3.1871152	
KCNB2	potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]	3.171506	
FTLP2	ferritin light chain pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4001]	3.1659682	
PDE8B	phosphodiesterase 8B [Source:HGNC Symbol;Acc:HGNC:8794]	3.162515	
SLC7A4	solute carrier family 7 member 4 [Source:HGNC Symbol;Acc:HGNC:11062]	3.1557434	
SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	3.1279435	
JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	3.0673764	
CILP	cartilage intermediate layer protein [Source:HGNC Symbol;Acc:HGNC:1980]	3.0552635	
JPH4	junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156]	3.0489042	
TTC9	tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20267]	3.0375087	
KCNK15	potassium two pore domain channel subfamily K member 15 [Source:HGNC Symbol;Acc:HGNC:13814]	3.0369134	
TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	2.9701874	
VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	2.9633365	
AIFM3	apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]	2.8946106	
GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	2.8908434	
EMID1	EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]	2.8297026	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	2.8157442	
MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	2.81234	
FAM131B	family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]	2.7989204	
OIT3	oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953]	2.7903328	
SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	2.7870529	
TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	2.7796576	
TMEM130	transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]	2.7787135	
SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	2.7768366	
SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	2.77063	
RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	2.7306473	
RENBP	renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959]	2.7221282	
ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	2.7203481	
