	camera	position	vial	condition	concentration	compound	repetition	replicate	date_of_birth	start_flies	dont_use	08/07/2021	16/07/2021	22/07/2021	29/07/2021	05/08/2021	12/08/2021	19/08/2021	26/08/2021	02/09/2021	09/09/2021	16/09/2021	23/09/2021	30/09/2021	07/10/2021	14/10/2021	21/10/2021	28/10/2021	04/11/2021	11/11/2021	18/11/2021	25/11/2021	02/12/2021	09/12/2021	16/12/2021	23/12/2021	30/12/2021
0	1	A	1	SD		SD	1	A	08/07/2021	10	0	10	10	9	8	8	7	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	B	2	DMSO-01	0.001%	DMSO	1	A	08/07/2021	10	0	10	10	10	10	8	6	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	C	3	DMSO-1	0.01%	DMSO	1	A	08/07/2021	10	0	10	10	10	10	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	D	4	DMSO-10	0.1%	DMSO	1	A	08/07/2021	10	0	10	10	10	10	10	10	10	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	A	5	DMSO-100	1%	DMSO	1	A	09/07/2021	10	0	10	9	9	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	B	6	SD		SD	1	B	10/07/2021	10	0	10	10	10	10	10	10	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	C	7	DMSO-01	0.001%	DMSO	1	B	10/07/2021	10	0	10	10	10	10	10	10	10	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2	D	8	DMSO-1	0.01%	DMSO	1	B	11/07/2021	9	0	9	9	9	9	9	9	9	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	A	9	DMSO-10	0.1%	DMSO	1	B	11/07/2021	10	0	10	10	10	10	10	10	10	10	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	3	B	10	DMSO-100	1%	DMSO	1	B	11/07/2021	10	0	10	10	10	10	10	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3	C	11	SD		SD	1	C	11/07/2021	10	0	10	10	10	10	10	10	10	10	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	D	12	DMSO-01	0.001%	DMSO	1	C	11/07/2021	10	0	10	10	10	10	10	10	10	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
