NAME	TITLE	SCORE	
SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	4.382833	
KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	4.35748	
PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	4.2485824	
CPNE5	copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]	4.0449624	
FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	4.039702	
DEPP1	DEPP1 autophagy regulator [Source:HGNC Symbol;Acc:HGNC:23355]	3.8827507	
BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	3.8579667	
OLFML2A	olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]	3.8452213	
SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	3.744925	
SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	3.6880531	
ROPN1L	rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060]	3.6074338	
AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	3.6014395	
FRG1JP	FSHD region gene 1 family member J, pseudogene [Source:HGNC Symbol;Acc:HGNC:51768]	3.5854065	
FGD2	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]	3.5715013	
ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	3.5393343	
OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	3.5260077	
HCFC1R1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	3.5122528	
ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	3.4865727	
FBXL22	F-box and leucine rich repeat protein 22 [Source:HGNC Symbol;Acc:HGNC:27537]	3.467222	
EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	3.4627647	
LRRC3C	leucine rich repeat containing 3C [Source:HGNC Symbol;Acc:HGNC:40034]	3.4480565	
