NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	132	2.5118675231933594	0.010370195	No	
row_1	RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	912	1.2569125890731812	-0.026905887	No	
row_2	PIH1D2	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	1318	1.0478074550628662	-0.043423273	No	
row_3	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	1548	0.9631092548370361	-0.05007239	No	
row_4	METTL25B	methyltransferase like 25B [Source:HGNC Symbol;Acc:HGNC:24273]	1610	0.9427169561386108	-0.046862975	No	
row_5	MRM3	mitochondrial rRNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18485]	2906	0.62529057264328	-0.11945812	No	
row_6	DDX28	DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330]	3197	0.5761921405792236	-0.13254902	No	
row_7	HELB	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]	3206	0.5749171376228333	-0.12885247	No	
row_8	YBEY	ybeY metalloendoribonuclease [Source:HGNC Symbol;Acc:HGNC:1299]	3640	0.5089846253395081	-0.15094867	No	
row_9	CHD7	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	3756	0.49389392137527466	-0.15421346	No	
row_10	TRMT2B	tRNA methyltransferase 2 homolog B [Source:HGNC Symbol;Acc:HGNC:25748]	3798	0.48949486017227173	-0.15310252	No	
row_11	DDX51	DEAD-box helicase 51 [Source:HGNC Symbol;Acc:HGNC:20082]	3818	0.48670873045921326	-0.1507014	No	
row_12	MTERF4	mitochondrial transcription termination factor 4 [Source:HGNC Symbol;Acc:HGNC:28785]	4358	0.4239802062511444	-0.17972828	No	
row_13	ERI2	ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]	4379	0.4211467504501343	-0.17786263	No	
row_14	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	4551	0.4002815783023834	-0.18514241	No	
row_15	REXO4	REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]	4647	0.38908255100250244	-0.18797672	No	
row_16	URB1	URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344]	4690	0.3835947811603546	-0.18769401	No	
