NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	66	2.1519081592559814	0.028457649	Yes	
row_1	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	81	2.0126307010650635	0.057886116	Yes	
row_2	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	95	1.9098683595657349	0.0858288	Yes	
row_3	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	103	1.8506345748901367	0.11323469	Yes	
row_4	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	139	1.7078680992126465	0.13684447	Yes	
row_5	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	1.6377506256103516	0.15975384	Yes	
row_6	RARRES2	retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]	221	1.5297038555145264	0.17974259	Yes	
row_7	SIX2	SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]	283	1.3821865320205688	0.19692458	Yes	
row_8	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	304	1.345893383026123	0.21597718	Yes	
row_9	WDR19	WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]	309	1.3374693393707275	0.23584606	Yes	
row_10	PCSK5	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]	334	1.3006386756896973	0.25398266	Yes	
row_11	DCHS1	dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]	368	1.2436968088150024	0.27073297	Yes	
row_12	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	375	1.2319114208221436	0.28889728	Yes	
row_13	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	470	1.1303313970565796	0.30034867	Yes	
row_14	LGR4	leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	586	1.02688729763031	0.3090076	Yes	
row_15	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	616	1.0076916217803955	0.32244605	Yes	
row_16	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	701	0.973127543926239	0.33212373	Yes	
row_17	HOXA13	homeobox A13 [Source:HGNC Symbol;Acc:HGNC:5102]	725	0.9565359950065613	0.34514678	Yes	
