NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEIOC	meiosis specific with coiled-coil domain [Source:HGNC Symbol;Acc:HGNC:26670]	345	1.4022496938705444	-0.015574739	No	
row_1	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	443	1.3090590238571167	-0.016708493	No	
row_2	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	685	1.1232553720474243	-0.027078422	No	
row_3	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	1088	0.9306204319000244	-0.04772133	No	
row_4	MLH3	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	1248	0.8751482963562012	-0.05408726	No	
row_5	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1256	0.8721464276313782	-0.05141029	No	
row_6	SPATA22	spermatogenesis associated 22 [Source:HGNC Symbol;Acc:HGNC:30705]	1383	0.8392343521118164	-0.055938054	No	
row_7	ZCWPW1	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	1669	0.7583239078521729	-0.070223324	No	
row_8	STAG3L1	stromal antigen 3-like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33852]	1763	0.7328997254371643	-0.073162735	No	
row_9	SYCE1L	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	1807	0.7230321168899536	-0.073159	No	
row_10	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	2180	0.6475796103477478	-0.093019105	No	
row_11	STAG3L4	stromal antigen 3-like 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33887]	2566	0.5707905292510986	-0.11392593	No	
row_12	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	2801	0.5338961482048035	-0.12596965	No	
row_13	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	2819	0.5318925380706787	-0.12509534	No	
row_14	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	2922	0.5167032480239868	-0.12933776	No	
row_15	SYCE3	synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:HGNC:35245]	3235	0.47739872336387634	-0.1462278	No	
row_16	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	3236	0.47734299302101135	-0.14453445	No	
row_17	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	3268	0.47200942039489746	-0.14470646	No	
row_18	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	3491	0.442265123128891	-0.15636049	No	
row_19	UBE2B	ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]	3894	0.403116911649704	-0.17887469	No	
row_20	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	4083	0.3821621537208557	-0.1887168	No	
row_21	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4085	0.3819720149040222	-0.18742132	No	
row_22	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	4432	0.34235820174217224	-0.20681556	No	
row_23	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	4492	0.3364775478839874	-0.20913611	No	
row_24	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	4510	0.3349537253379822	-0.20896044	No	
row_25	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	4554	0.3302842080593109	-0.21034998	No	
row_26	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	4607	0.3247303068637848	-0.21229528	No	
row_27	RNF212B	ring finger protein 212B [Source:HGNC Symbol;Acc:HGNC:20438]	4708	0.31526079773902893	-0.21713318	No	
row_28	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	4766	0.30831825733184814	-0.21943451	No	
