NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR6	1	HTR6	
HTR7	1	HTR7	
LURAP1L	1	LURAP1L	
BBX	1	BBX	
GSTK1	1	GSTK1	
WDR83OS	1	WDR83OS	
DHDH	1	DHDH	
INSYN1	1	INSYN1	
BCR	1	BCR	
ORAI3	1	ORAI3	
AGTR1	1	AGTR1	
ORAI2	1	ORAI2	
ORAI1	1	ORAI1	
VOPP1	1	VOPP1	
COL13A1	1	COL13A1	
SHMT2	1	SHMT2	
SHMT1	1	SHMT1	
B3GLCT	1	B3GLCT	
RDH12	1	RDH12	
RDH11	1	RDH11	
RDH10	1	RDH10	
RDH16	1	RDH16	
RDH14	1	RDH14	
RDH13	1	RDH13	
GTF2IRD2B	1	GTF2IRD2B	
GSTM4	1	GSTM4	
GSTM3	1	GSTM3	
GSTM2	1	GSTM2	
GSTM1	1	GSTM1	
NEBL	1	NEBL	
DHFR	1	DHFR	
CYP2G1P	1	CYP2G1P	
DELEC1	1	DEC1	
PKIB	1	PKIB	
STRC	1	STRC	
PKIA	1	PKIA	
L1TD1	1	L1TD1	
STRN	1	STRN	
PKIG	1	PKIG	
CASP4LP	1	CASP17P	
GSTM5	1	GSTM5	
GTF2H2C	1	GTF2H2C	
KCNC1	1	KCNC1	
KCNC3	1	KCNC3	
KCNC4	1	KCNC4	
BBC3	1	BBC3	
GLT1D1	1	GLT1D1	
NEFL	1	NEFL	
NEFM	1	NEFM	
NEFH	1	NEFH	
STUM	1	STUM	
KCND1	1	KCND1	
GSTO2	1	GSTO2	
KCND2	1	KCND2	
GSTO1	1	GSTO1	
KCND3	1	KCND3	
BGN	1	BGN	
RPL3P4	1	RPL3P4	
TMEFF1	1	TMEFF1	
TMEFF2	1	TMEFF2	
RPL3P6	1	RPL3P6	
RPL3P7	1	RPL3P7	
GTF2H2B	1	GTF2H2B	
RPL3P2	1	RPL3P2	
RPS7P11	1	RPS7P11	
RPS7P10	1	RPS7P10	
PKN3	1	PKN3	
GSTP1	1	GSTP1	
SYNPO2	1	SYNPO2	
KCNA2	1	KCNA2	
PTAFR	1	PTAFR	
ADAM22	1	ADAM22	
KCNA3	1	KCNA3	
ADAM21	1	ADAM21	
KCNA4	1	KCNA4	
ADAM20	1	ADAM20	
KCNA7	1	KCNA7	
SDAD1	1	SDAD1	
ADAM28	1	ADAM28	
BORCS7-ASMT	1	BORCS7-ASMT	
ADAM23	1	ADAM23	
STX6	1	STX6	
STX5	1	STX5	
STX4	1	STX4	
STX3	1	STX3	
BID	1	BID	
STX2	1	STX2	
SPDEF	1	SPDEF	
MBD3	1	MBD3	
MBD4	1	MBD4	
MBD5	1	MBD5	
MBD6	1	MBD6	
PKLR	1	PKLR	
BIK	1	BIK	
KCNB1	1	KCNB1	
KCNB2	1	KCNB2	
MBD1	1	MBD1	
MBD2	1	MBD2	
ADAM33	1	ADAM33	
KIAA2012	1	KIAA2012	
ADAM32	1	ADAM32	
KIAA2013	1	KIAA2013	
MITD1	1	MITD1	
PKN2	1	PKN2	
PKN1	1	PKN1	
KCNG1	1	KCNG1	
KCNG3	1	KCNG3	
RASL11B	1	RASL11B	
FBXO28	1	FBXO28	
RASL11A	1	RASL11A	
FBXO25	1	FBXO25	
GOLIM4	1	GOLIM4	
FBXO24	1	FBXO24	
FBXO21	1	FBXO21	
FBXO22	1	FBXO22	
FADS3	1	FADS3	
FADS2	1	FADS2	
POFUT2	1	POFUT2	
PTAR1	1	PTAR1	
FNTA	1	FNTA	
MYBPHL	1	MYBPHL	
POFUT1	1	POFUT1	
POTEJ	1	POTEJ	
FNTB	1	FNTB	
NEK1	1	NEK1	
POTEE	1	POTEE	
TNFRSF8	1	TNFRSF8	
NEK2	1	NEK2	
POTEF	1	POTEF	
NEK3	1	NEK3	
TNFRSF4	1	TNFRSF4	
FADS1	1	FADS1	
KCNH1	1	KCNH1	
KCNH2	1	KCNH2	
PIAS4	1	PIAS4	
KCNH3	1	KCNH3	
PIAS3	1	PIAS3	
KCNH4	1	KCNH4	
DGAT2	1	DGAT2	
KCNH5	1	KCNH5	
DGAT1	1	DGAT1	
KCNH6	1	KCNH6	
FBXO16	1	FBXO16	
STX8	1	STX8	
FBXO17	1	FBXO17	
STX7	1	STX7	
FGD5P1	1	FGD5P1	
FBXO15	1	FBXO15	
FBXO10	1	FBXO10	
FBXO11	1	FBXO11	
PIAS2	1	PIAS2	
LENEP	1	LENEP	
PIAS1	1	PIAS1	
LENG1	1	LENG1	
NPAS4	1	NPAS4	
MINPP1	1	MINPP1	
DMTF1	1	DMTF1	
PKP2	1	PKP2	
PKP1	1	PKP1	
PKP4	1	PKP4	
PKP3	1	PKP3	
BLM	1	BLM	
KCNE1	1	KCNE1	
KCNE2	1	KCNE2	
KCNE3	1	KCNE3	
KCNE4	1	KCNE4	
KCNE5	1	KCNE5	
ZC4H2	1	ZC4H2	
IREB2	1	IREB2	
FBXO47	1	FBXO47	
FBXO48	1	FBXO48	
GSTT2	1	GSTT2	
FBXO45	1	FBXO45	
GSTT1	1	GSTT1	
FBXO46	1	FBXO46	
FBXO43	1	FBXO43	
FBXO44	1	FBXO44	
NPAS1	1	NPAS1	
CCDC144A	1	CCDC144A	
FBXO41	1	FBXO41	
NPAS2	1	NPAS2	
FBXO42	1	FBXO42	
NPAS3	1	NPAS3	
CCDC144B	1	CCDC144B	
MBIP	1	MBIP	
BMF	1	BMF	
KCNF1	1	KCNF1	
NEK9	1	NEK9	
SDF2L1	1	SDF2L1	
NEK4	1	NEK4	
RASL10A	1	RASL10A	
HTR1F	1	HTR1F	
NEK5	1	NEK5	
RASL10B	1	RASL10B	
FBXO38	1	FBXO38	
NEK6	1	NEK6	
TNFRSF9	1	TNFRSF9	
FBXO39	1	FBXO39	
HTR1D	1	HTR1D	
NEK7	1	NEK7	
STYX	1	STYX	
FBXO36	1	FBXO36	
HTR1B	1	HTR1B	
FBXO34	1	FBXO34	
FBXO32	1	FBXO32	
FBXO33	1	FBXO33	
FBXO30	1	FBXO30	
FAM90A1	1	FAM90A1	
FBXO31	1	FBXO31	
DRAP1	1	DRAP1	
CELP	1	CELP	
ALDH7A1P1	1	ALDH7A1P1	
MNAT1	1	MNAT1	
SLC49A4	1	SLC49A4	
SLC49A3	1	SLC49A3	
BCAR3	1	BCAR3	
PIWIL2	1	PIWIL2	
KCNK6	1	KCNK6	
KCNK7	1	KCNK7	
PIWIL4	1	PIWIL4	
ALAS1	1	ALAS1	
KCNK9	1	KCNK9	
ONECUT2	1	ONECUT2	
LRRC37BP1	1	LRRC37BP1	
ONECUT1	1	ONECUT1	
HTR2B	1	HTR2B	
PPWD1	1	PPWD1	
HTR2A	1	HTR2A	
NENF	1	NENF	
TNFSF13B	1	TNFSF13B	
BOC	1	BOC	
SPDL1	1	SPDL1	
NEO1	1	NEO1	
BCAS2	1	BCAS2	
BCAS1	1	BCAS1	
BOK	1	BOK	
BCAS4	1	BCAS4	
SLC36A1	1	SLC36A1	
BCAS3	1	BCAS3	
PIANP	1	PIANP	
VPS13C	1	VPS13C	
DHPS	1	DHPS	
VPS13D	1	VPS13D	
VPS13A	1	VPS13A	
VPS13B	1	VPS13B	
RABGGTB	1	RABGGTB	
RABGGTA	1	RABGGTA	
NEMF	1	NEMF	
C1D	1	C1D	
BPI	1	BPI	
BCAT1	1	BCAT1	
BCAT2	1	BCAT2	
CYP51A1P1	1	CYP51A1P1	
C1S	1	C1S	
C1R	1	C1R	
LENG9	1	LENG9	
LENG8	1	LENG8	
U2AF1	1	U2AF1	
CYP51A1P3	1	CYP51A1P3	
CYP51A1P2	1	CYP51A1P2	
DRAM1	1	DRAM1	
U2AF2	1	U2AF2	
DRAM2	1	DRAM2	
KCNJ1	1	KCNJ1	
SLC36A4	1	SLC36A4	
TSPOAP1	1	TSPOAP1	
KCNJ2	1	KCNJ2	
KCNJ4	1	KCNJ4	
KCNJ5	1	KCNJ5	
COL26A1	1	COL26A1	
KCNJ6	1	KCNJ6	
GPKOW	1	GPKOW	
KCNJ8	1	KCNJ8	
KCNJ9	1	KCNJ9	
GSTZ1	1	GSTZ1	
IL2RB	1	IL2RB	
KCNK1	1	KCNK1	
KCNK2	1	KCNK2	
BCAR1	1	BCAR1	
KCNK3	1	KCNK3	
KCNK4	1	KCNK4	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
SLC23A1	1	SLC23A1	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
C4B	1	C4B	
LGALS4	1	LGALS4	
C4A	1	C4A	
LGALS3	1	LGALS3	
HMGN2P46	1	HMGN2P46	
LGALS1	1	LGALS1	
H2BC12L	1	H2BFS	
IL36B	1	IL36B	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
OR13E1P	1	OR13E1P	
ATXN7L2	1	ATXN7L2	
BSN	1	BSN	
LGALS8	1	LGALS8	
ATXN7L3	1	ATXN7L3	
LGALS7	1	LGALS7	
EIF5AP4	1	EIF5AP4	
EIF5AP3	1	EIF5AP3	
LIMCH1	1	LIMCH1	
EGLN1P1	1	EGLN1P1	
PSMD10P1	1	PSMD10P1	
GOLPH3L	1	GOLPH3L	
BTC	1	BTC	
ZNF542P	1	ZNF542P	
BTD	1	BTD	
CFDP1	1	CFDP1	
CRISPLD1	1	CRISPLD1	
SOAT1	1	SOAT1	
CRISPLD2	1	CRISPLD2	
SOAT2	1	SOAT2	
KCNQ1	1	KCNQ1	
NINJ2	1	NINJ2	
SUB1	1	SUB1	
KCNQ2	1	KCNQ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ3	1	KCNQ3	
KCNQ4	1	KCNQ4	
KCNQ5	1	KCNQ5	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
RRAD	1	RRAD	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
ZBTB3	1	ZBTB3	
ZBTB2	1	ZBTB2	
NEU3	1	NEU3	
NKAIN1	1	NKAIN1	
NEU4	1	NEU4	
MRNIP	1	MRNIP	
RACGAP1	1	RACGAP1	
RRAS	1	RRAS	
SEPTIN7P9	1	SEPT7P9	
NEU1	1	NEU1	
H3C1	1	HIST1H3A	
KCNN1	1	KCNN1	
H3C3	1	HIST1H3C	
KCNN2	1	KCNN2	
STK25P1	1	STK25P1	
H3C2	1	HIST1H3B	
KCNN3	1	KCNN3	
KCNN4	1	KCNN4	
OR7E47P	1	OR7E47P	
H3C4	1	HIST1H3D	
H3C7	1	HIST1H3F	
H3C6	1	HIST1H3E	
BBS2	1	BBS2	
NTNG1	1	NTNG1	
SLC10A4	1	SLC10A4	
BBS1	1	BBS1	
NTNG2	1	NTNG2	
SLC10A5	1	SLC10A5	
SLC10A6	1	SLC10A6	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
HSD17B1P1	1	HSD17B1P1	
SLC10A1	1	SLC10A1	
SLC10A3	1	SLC10A3	
SUCO	1	SUCO	
CFAP119	1	CCDC189	
CPLANE1	1	CPLANE1	
CPLANE2	1	CPLANE2	
NET1	1	NET1	
ZBTB9	1	ZBTB9	
PEX5L	1	PEX5L	
MC1R	1	MC1R	
ZBTB6	1	ZBTB6	
SPDYA	1	SPDYA	
GRB2	1	GRB2	
GRAP	1	GRAP	
C8B	1	C8B	
TFB1M	1	TFB1M	
MC4R	1	MC4R	
C8G	1	C8G	
KCNT2	1	KCNT2	
SUFU	1	SUFU	
BBS9	1	BBS9	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
H3C8	1	HIST1H3G	
PCYT1B	1	PCYT1B	
ZHX2	1	ZHX2	
FCER1G	1	FCER1G	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144A	1	RNF144A	
RNF144B	1	RNF144B	
KCNU1	1	KCNU1	
PITPNM1	1	PITPNM1	
PITPNM3	1	PITPNM3	
PITPNM2	1	PITPNM2	
TAX1BP1	1	TAX1BP1	
FAM193B	1	FAM193B	
FAM32A	1	FAM32A	
TAX1BP3	1	TAX1BP3	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
PEX16	1	PEX16	
KRT87P	1	KRT87P	
PEX19	1	PEX19	
KLHL2	1	KLHL2	
KLHL3	1	KLHL3	
PEX10	1	PEX10	
KCNRG	1	KCNRG	
CFAP157	1	CFAP157	
PEX12	1	PEX12	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KCNS1	1	KCNS1	
KLHL5	1	KLHL5	
KCNS2	1	KCNS2	
KLHL6	1	KLHL6	
KCNS3	1	KCNS3	
KLHL7	1	KLHL7	
CFAP161	1	CFAP161	
KLHL8	1	KLHL8	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
RBM22P2	1	RBM22P2	
PLB1	1	PLB1	
IGF1R	1	IGF1R	
TXN2	1	TXN2	
PPIP5K1	1	PPIP5K1	
PLAU	1	PLAU	
PPIP5K2	1	PPIP5K2	
ENPP2	1	ENPP2	
ENPP1	1	ENPP1	
RXYLT1	1	RXYLT1	
ENPP4	1	ENPP4	
ENPP3	1	ENPP3	
ENPP5	1	ENPP5	
CARD10	1	CARD10	
CPSF1P1	1	CPSF1P1	
ADAM11	1	ADAM11	
ADAM10	1	ADAM10	
DHDDS	1	DHDDS	
ADAM19	1	ADAM19	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	CARD19	
ADAM12	1	ADAM12	
PLAA	1	PLAA	
CARD16	1	CARD16	
CARD14	1	CARD14	
CARD11	1	CARD11	
RBMS2P1	1	RBMS2P1	
HTRA3	1	HTRA3	
HTRA4	1	HTRA4	
HTRA1	1	HTRA1	
PLD5	1	PLD5	
DAPP1	1	DAPP1	
HTRA2	1	HTRA2	
PLD4	1	PLD4	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
GRK1	1	GRK1	
NME1-NME2	1	NME1-NME2	
GRK3	1	GRK3	
GRK2	1	GRK2	
GRK5	1	GRK5	
GRK4	1	GRK4	
GRK7	1	GRK7	
GRK6	1	GRK6	
PIBF1	1	PIBF1	
CHCHD10	1	CHCHD10	
FAM199X	1	FAM199X	
IGF2R	1	IGF2R	
OR7M1P	1	OR7M1P	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PLEK	1	PLEK	
GRM1	1	GRM1	
PITPNC1	1	PITPNC1	
GRM2	1	GRM2	
GRM5	1	GRM5	
GRM4	1	GRM4	
ZIC2	1	ZIC2	
CA2	1	CA2	
GRM6	1	GRM6	
CA4	1	CA4	
GRM8	1	GRM8	
ZIC1	1	ZIC1	
CA7	1	CA7	
CA9	1	CA9	
MYBL2	1	MYBL2	
CA8	1	CA8	
MYBL1	1	MYBL1	
SUN3	1	SUN3	
SUN2	1	SUN2	
SUN1	1	SUN1	
ATP6AP1	1	ATP6AP1	
ATP6AP2	1	ATP6AP2	
CAD	1	CAD	
HUNK	1	HUNK	
SEPTIN7P2	1	SEPT7P2	
ELF1	1	ELF1	
ELF2	1	ELF2	
ELF3	1	ELF3	
GFOD1	1	GFOD1	
ELF4	1	ELF4	
CAT	1	CAT	
GFOD2	1	GFOD2	
ZMYND10	1	ZMYND10	
ZMYND11	1	ZMYND11	
SHANK3	1	SHANK3	
ZMYND12	1	ZMYND12	
SHANK2	1	SHANK2	
PLEC	1	PLEC	
SHANK1	1	SHANK1	
RRN3	1	RRN3	
CBL	1	CBL	
SV2C	1	SV2C	
SV2B	1	SV2B	
CBS	1	CBS	
SV2A	1	SV2A	
TBX21	1	TBX21	
TBX20	1	TBX20	
CKS1BP1	1	CKS1BP1	
SPATA31E1	1	SPATA31E1	
CLVS1	1	CLVS1	
ATP5PBP1	1	ATP5PBP1	
RRM1	1	RRM1	
RRM2	1	RRM2	
ATP5PBP5	1	ATP5PBP5	
CCK	1	CCK	
HS3ST5	1	HS3ST5	
ZIC4	1	ZIC4	
HS3ST6	1	HS3ST6	
SUOX	1	SUOX	
TBX19	1	TBX19	
TBX18	1	TBX18	
HS3ST2	1	HS3ST2	
TBX15	1	TBX15	
CCS	1	CCS	
CD4	1	CD4	
CD6	1	CD6	
CD7	1	CD7	
CD9	1	CD9	
CDA	1	CDA	
VPS29	1	VPS29	
FRMPD3	1	FRMPD3	
FRMPD4	1	FRMPD4	
RPL36AP15	1	RPL36AP15	
FRMPD2	1	FRMPD2	
RRP1	1	RRP1	
GRPR	1	GRPR	
ELK1	1	ELK1	
RRP8	1	RRP8	
BPTFP1	1	BPTFP1	
ELK3	1	ELK3	
RRP9	1	RRP9	
ELK4	1	ELK4	
ALCAM	1	ALCAM	
SCN11A	1	SCN11A	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
H3P4	1	HIST2H3DP1	
H3P6	1	H3F3AP4	
NUP93	1	NUP93	
BCAN	1	BCAN	
BCAM	1	BCAM	
KRTAP4-12	1	KRTAP4-12	
HECW2	1	HECW2	
HECW1	1	HECW1	
SRFBP1	1	SRFBP1	
TARS2	1	TARS2	
NUP98	1	NUP98	
TARS3	1	TARSL2	
TARS1	1	TARS	
VPS25	1	VPS25	
CFB	1	CFB	
VPS28	1	VPS28	
RNF216P1	1	RNF216P1	
CFD	1	CFD	
CFH	1	CFH	
PLEKHA8P1	1	PLEKHA8P1	
CFI	1	CFI	
METTL25B	1	RRNAD1	
CFP	1	CFP	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
RRS1	1	RRS1	
ST3GAL4	1	ST3GAL4	
VPS11	1	VPS11	
ST3GAL5	1	ST3GAL5	
NUP88	1	NUP88	
ST3GAL6	1	ST3GAL6	
CGA	1	CGA	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
LRRC37A3	1	LRRC37A3	
PLK4	1	PLK4	
ARL14EP	1	ARL14EP	
LRRC37A2	1	LRRC37A2	
NFE2	1	NFE2	
PLK3	1	PLK3	
PLK5	1	PLK5	
APOOL	1	APOOL	
GTF2IRD2	1	GTF2IRD2	
PLK2	1	PLK2	
PLK1	1	PLK1	
CGN	1	CGN	
ELL2	1	ELL2	
MCAT	1	MCAT	
ELL3	1	ELL3	
ZNF559-ZNF177	1	ZNF559-ZNF177	
GTF2IRD1	1	GTF2IRD1	
TMEM225B	1	TMEM225B	
RSPH10B	1	RSPH10B	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
CHM	1	CHM	
MTND1P11	1	MTND1P11	
STON2	1	STON2	
MCEE	1	MCEE	
ELOA	1	ELOA	
ELOB	1	ELOB	
ELOC	1	ELOC	
RRP12	1	RRP12	
CIC	1	CIC	
RRP15	1	RRP15	
ZIK1	1	ZIK1	
EDARADD	1	EDARADD	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
EXOC7	1	EXOC7	
PLLP	1	PLLP	
CIT	1	CIT	
EXOC4	1	EXOC4	
PLIN4	1	PLIN4	
EXOC3	1	EXOC3	
PLIN3	1	PLIN3	
EXOC6	1	EXOC6	
PLIN2	1	PLIN2	
EXOC5	1	EXOC5	
PLIN1	1	PLIN1	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
EXOC1	1	EXOC1	
PLIN5	1	PLIN5	
NFIX	1	NFIX	
DCAF12L2	1	DCAF12L2	
PRUNE2	1	PRUNE2	
PRUNE1	1	PRUNE1	
METTL21A	1	METTL21A	
MTND1P32	1	MTND1P32	
TRBV12-4	1	TRBV12-4	
APOL4	1	APOL4	
APOL6	1	APOL6	
RASSF10	1	RASSF10	
RRP36	1	RRP36	
CKB	1	CKB	
APOL1	1	APOL1	
PAIP2	1	PAIP2	
KPNA2P3	1	KPNA2P3	
APOL3	1	APOL3	
APOL2	1	APOL2	
PAIP1	1	PAIP1	
HIPK4	1	HIPK4	
CKM	1	CKM	
MCF2	1	MCF2	
MOCOS	1	MOCOS	
ELP1	1	ELP1	
MTND1P23	1	MTND1P23	
RFLNB	1	RFLNB	
ELP2	1	ELP2	
G0S2	1	G0S2	
ELP3	1	ELP3	
ELP4	1	ELP4	
RRP1B	1	RRP1B	
ELP5	1	ELP5	
HIPK1	1	HIPK1	
ELP6	1	ELP6	
HIPK3	1	HIPK3	
HIPK2	1	HIPK2	
RFLNA	1	RFLNA	
RPL4P2	1	RPL4P2	
RPL4P3	1	RPL4P3	
RPL4P4	1	RPL4P4	
HERC2P10	1	HERC2P10	
RPL4P5	1	RPL4P5	
HERC2P11	1	HERC2P11	
NFIA	1	NFIA	
RPL4P6	1	RPL4P6	
NFIB	1	NFIB	
NFIC	1	NFIC	
PLP1	1	PLP1	
FOSB	1	FOSB	
PLP2	1	PLP2	
MYL12BP1	1	MYL12BP1	
RNASEH2CP1	1	RNASEH2CP1	
RBMS1P1	1	RBMS1P1	
TMEM229B	1	TMEM229B	
CLU	1	CLU	
LCLAT1	1	LCLAT1	
THG1L	1	THG1L	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
PLS3	1	PLS3	
OIP5	1	OIP5	
IL13RA2	1	IL13RA2	
IL13RA1	1	IL13RA1	
PLS1	1	PLS1	
